idiom,freq,meaning,pattern
rough time,2274,a period of difficulty or hardship.,rough time
thumbs up,1605,an expression of approval or agreement.,thumbs up
catch [pron] eye,1426,attract someone's attention.,"catch [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} eye"
safe and sound,1610,unharmed and in good condition.,safe and sound
behave yourself,587,act in an appropriate manner.,behave yourself
race against time,97,try to do something quickly before a deadline.,race against time
last but not least,309,"used to introduce the final item in a list of items, often to give it special emphasis.",last but not least
keep [pron] cool,886,remain calm and composed in a difficult situation.,"keep [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} cool"
for a song,216,for a very low price.,for a song
tongue in cheek,72,"said or done in a humorous way, not to be taken seriously.",tongue in cheek
god knows,5867,used to express one's uncertainty or lack of knowledge about something.,god knows
bad blood,709,a feeling of animosity or hostility between two people or groups.,bad blood
at the drop of a hat,321,without hesitation; immediately.,at the drop of a hat
no rush,1276,there is no need to hurry or be in a hurry.,no rush
get [pron] act together,331,organize one's life and become more responsible.,"get [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} act together"
on a shoestring,54,with very little money or resources.,on a shoestring
give [pron] [pron] hand,2516,help someone out.,"give [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} hand"
black and blue,857,bruised or injured from physical violence.,black and blue
through thick and thin,215,remaining loyal and supportive in difficult times.,through thick and thin
head over heels,1323,completely and utterly in love with someone.,head over heels
silver lining,702,a hopeful or comforting aspect of a situation that is otherwise difficult or unpleasant.,silver lining
out on the town,461,"to go out and have a good time, usually with friends.",out on the town
get out of hand,579,become chaotic or uncontrollable.,get out of hand
under the weather,334,feeling unwell or sick.,under the weather
the letter of the law,105,"adhering strictly to the exact wording of a law or rule, without considering the spirit or intent of the law.",the letter of the law
well read,186,"having a wide knowledge of literature, history, and other topics.",well read
an arm and a leg,222,a large amount of money,an arm and a leg
thumbs down,117,express disapproval or rejection of something.,thumbs down
above the law,253,not subject to the same rules and regulations as everyone else.,above the law
by the numbers,92,following a set of instructions or a plan exactly as it is written.,by the numbers
al fresco,77,eating or dining outdoors.,al fresco
watch this space,12,wait and see what happens next.,watch this space
strike [pron] balance,49,achieve a state of equilibrium between two opposing forces.,"strike [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} balance"
heart of gold,322,a kind and generous person.,heart of gold
a blessing in disguise,172,a good thing that initially seemed bad.,a blessing in disguise
self explanatory,22,clear and understandable without needing further explanation.,self explanatory
just deserts,40,the reward or punishment that someone deserves.,just deserts
rat race,87,"a stressful, unfulfilling lifestyle in which one is constantly competing with others to achieve success.",rat race
in the pink,401,in good health,in the pink
bite [pron] lip,3162,"refrain from speaking or expressing an opinion, usually in order to avoid conflict.","bite [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} lip"
beyond words,871,unable to be expressed in words; too great or intense to be described.,beyond words
baptism of fire,18,a situation in which someone is suddenly thrown into a difficult or dangerous situation and must quickly learn how to cope.,baptism of fire
nine to five,158,"a regular job with regular hours, typically from 9am to 5pm.",nine to five
a clean bill of health,181,a report or statement that indicates that someone or something is in good health or has been approved.,a clean bill of health
weak at the knees,131,feeling overwhelmed with emotion or excitement.,weak at the knees
face the music,397,accept the consequences of one's actions.,face the music
right as rain,332,in perfect condition or health.,right as rain
give [pron] slip,106,escape or elude someone.,"give [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} slip"
in name only,258,having a title or position but no real authority or power.,in name only
cut [pron] throat,1307,"to do something that will harm someone else, even if it means harming oneself in the process.","cut [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} throat"
find [pron] feet,231,become comfortable and confident in a new situation.,"find [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} feet"
now or never,1297,a situation in which one must act immediately or miss the opportunity.,now or never
in a trice,142,very quickly.,in a trice
rack [pron] brain,289,think hard and long about something in order to come up with a solution.,"rack [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} brain"
the acid test,15,a decisive or conclusive test or measure of the quality or effectiveness of something.,the acid test
keep [pron] eye open,78,be vigilant and watchful for potential problems or opportunities.,"keep [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} eye open"
take for [pron] ride,6,deceive or mislead someone for personal gain.,"take for [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} ride"
twist [pron] arm,282,persuade someone to do something they are reluctant to do.,"twist [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} arm"
sink or swim,112,face a difficult situation and either succeed or fail.,sink or swim
keep in touch,1375,maintain communication with someone over a period of time.,keep in touch
alive and kicking,221,in good health and full of energy.,alive and kicking
learn by heart,10,memorize something so that it can be recalled without difficulty.,learn by heart
volte face,2,a complete reversal of opinion or course of action.,volte face
lose [pron] head,1072,become overwhelmed with emotion and act impulsively or irrationally.,"lose [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} head"
you bet,17990,"absolutely, definitely, certainly.",you bet
strapped for cash,54,having very little money available.,strapped for cash
cross [pron] fingers,431,hope for the best.,"cross [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} fingers"
strike [pron] chord,67,resonate with someone emotionally.,"strike [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} chord"
cheek by jowl,56,"very close together, side by side.",cheek by jowl
jump on [pron] bandwagon,33,"join a popular trend or opinion, usually without considering the consequences.","jump on [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} bandwagon"
run for [pron] life,343,flee from a dangerous situation as quickly as possible.,"run for [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} life"
long in the tooth,79,older in age.,long in the tooth
to a fine art,54,to do something with great skill and precision.,to a fine art
on the wagon,433,abstaining from alcohol or other substances.,on the wagon
in the zone,363,a state of intense focus and concentration on a task.,in the zone
glass ceiling,334,an unacknowledged barrier that prevents a certain group from rising to a higher level of power or success.,glass ceiling
raw deal,109,an unfair or unjust situation.,raw deal
pass [pron] buck,49,avoid taking responsibility for something by blaming someone else.,"pass [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} buck"
open warfare,85,a situation in which two sides are openly hostile and actively fighting each other.,open warfare
nest egg,313,a sum of money saved for future use.,nest egg
safety in numbers,294,being in a group makes one feel more secure and protected.,safety in numbers
dead wood,170,people or things that are no longer useful or productive.,dead wood
stick to [pron] guns,64,remain firm in one's opinion or decision despite opposition or criticism.,"stick to [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} guns"
on the same page,1504,in agreement or understanding about something.,on the same page
on the same wavelength,195,in agreement or understanding with someone else.,on the same wavelength
under canvas,23,living in a tent or other temporary shelter.,under canvas
in a fog,586,confused and unable to think clearly.,in a fog
whiter than white,35,completely honest and ethical.,whiter than white
get on [pron] nerves,296,annoy or irritate someone.,"get on [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} nerves"
take breath away,1,to be so amazing or shocking that it causes someone to be speechless.,take breath away
behind [pron] back,16340,to do something without someone's knowledge or consent.,"behind [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} back"
third time lucky,15,the third attempt at something will be successful.,third time lucky
pin money,33,"extra money earned from a hobby or side job, usually used for small luxuries or treats.",pin money
beat [pron] retreat,70,"leave a place or situation quickly, usually in a disorganized or embarrassed manner.","beat [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} retreat"
pay [pron] dues,104,work hard and accept the necessary responsibilities to achieve success.,"pay [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} dues"
white elephant,101,a possession that is useless and expensive to maintain.,white elephant
ill-gotten gains,100,money or other benefits that were obtained illegally or unethically.,ill-gotten gains
pull [pron] leg,508,tease someone in a playful way.,"pull [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} leg"
poetic justice,230,"when someone receives the consequences of their own actions, often in a way that is fitting or appropriate.",poetic justice
pull yourself together,547,regain control of your emotions and behavior.,pull yourself together
break [pron] back,371,overwhelm someone with a difficult task or situation.,"break [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} back"
technically speaking,231,used to emphasize that one is speaking accurately and precisely.,technically speaking
jump to conclusions,559,make a decision or judgment without having all the facts.,jump to conclusions
a shot in the arm,27,"a sudden boost of energy, enthusiasm, or confidence.",a shot in the arm
a red flag,422,a warning sign or indication of potential danger or trouble.,a red flag
first among equals,19,the most important or influential person in a group of people who are all considered to be of equal status.,first among equals
get to [pron] point,1840,get to the main point of a discussion or conversation.,"get to [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} point"
high and mighty,552,having an attitude of superiority or arrogance.,high and mighty
break a leg,269,wish someone good luck,break a leg
root and branch,39,"completely and thoroughly, leaving no part untouched.",root and branch
tie [pron] knot,479,get married.,"tie [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} knot"
salt of the earth,86,"a person who is honest, hardworking, and reliable.",salt of the earth
rags to riches,28,a phrase used to describe a person who has gone from having nothing to having great wealth and success.,rags to riches
hale and hearty,98,in good health and full of energy.,hale and hearty
close call,1131,"a situation in which something almost happened, but did not.",close call
make yourself at home,730,"feel comfortable and relaxed in a place, as if it were your own home.",make yourself at home
curl [pron] lip,539,express disapproval or contempt for someone or something.,"curl [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} lip"
water under the bridge,359,something that happened in the past and is no longer relevant.,water under the bridge
stiff upper lip,104,remain calm and composed in the face of adversity.,stiff upper lip
a flash in the pan,36,something that is initially successful but quickly fades away.,a flash in the pan
bite [pron] tongue,1181,refrain from saying something that one is tempted to say.,"bite [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} tongue"
fall out of love,133,stop feeling romantic love for someone.,fall out of love
elbow grease,87,hard work and effort.,elbow grease
make [pron] scene,947,draw attention to oneself in a negative way.,"make [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} scene"
whet [pron] appetite,136,stimulate someone's interest or desire for something.,"whet [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} appetite"
lose [pron] touch,507,"cease communication with someone, resulting in a lack of contact.","lose [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} touch"
in bad shape,808,in a difficult or unfavorable situation.,in bad shape
on thin ice,307,"in a precarious situation, at risk of making a mistake or getting into trouble.",on thin ice
cut [pron] losses,383,"stop investing time, money, or energy into something that is not working out.","cut [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} losses"
say [pron] piece,229,express one's opinion or feelings on a particular subject.,"say [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} piece"
home truth,40,"a frank and honest statement, often unpleasant, that is said to someone in order to help them.",home truth
cloud nine,430,a state of extreme happiness or elation.,cloud nine
come under fire,14,"be criticized or attacked, especially in a public way.",come under fire
add fuel to [pron] fire,81,make a bad situation worse by adding more problems or complications.,"add fuel to [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} fire"
come from behind,217,to achieve success after being in a difficult or losing position.,come from behind
flea market,478,a place where people can buy and sell second-hand goods.,flea market
snowed under,25,overwhelmed with work or responsibilities.,snowed under
bag of tricks,224,"a collection of strategies, techniques, or resources that can be used to achieve a desired result.",bag of tricks
rain or shine,140,"no matter what the conditions, the activity will take place.",rain or shine
[pron] man of action,251,someone who is quick to take action and get things done.,"[a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} man of action"
on cloud nine,343,feeling extremely happy and content.,on cloud nine
nitty gritty,58,the most important details or facts of a situation.,nitty gritty
pie in the sky,44,an unrealistic hope or dream that is unlikely to come true.,pie in the sky
red tape,561,excessive bureaucracy and regulations that make it difficult to get something done.,red tape
big bucks,503,a large amount of money.,big bucks
keep up the good work,206,continue to do something well or to make progress.,keep up the good work
dream ticket,4,an ideal combination of people or things that would be perfect for a particular situation.,dream ticket
brought forward,263,moved to an earlier time or date.,brought forward
start from scratch,168,"begin a task or project from the beginning, without using any existing resources or materials.",start from scratch
drive [pron] hard bargain,180,negotiate aggressively to get the best possible deal.,"drive [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} hard bargain"
break up,5361,end a romantic relationship.,break up
come to [pron] attention,418,pay close attention to someone or something.,"come to [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} attention"
flotsam and jetsam,67,the random objects or debris that remain after a shipwreck or other disaster.,flotsam and jetsam
pick up [pron] tab,139,pay for someone else's expenses.,"pick up [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} tab"
time is money,110,"the more time you spend on something, the more money it will cost.",time is money
fire [pron] imagination,21,inspire someone to think of new ideas or possibilities.,"fire [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} imagination"
call [pron] names,450,insult or criticize someone in a rude or demeaning way.,"call [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} names"
a storm in a teacup,5,a situation that is made to seem much more serious or important than it really is.,a storm in a teacup
in the family way,73,pregnant.,in the family way
a sea change,27,a complete transformation or alteration.,a sea change
dead to the world,438,completely unaware of what is happening around them.,dead to the world
carrot and stick,16,a method of motivation that combines rewards (carrots) with punishments (sticks) to encourage desired behavior.,carrot and stick
keep [pron] head above water,164,manage to stay afloat financially or emotionally despite difficult circumstances.,"keep [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} head above water"
no strings attached,503,no obligations or expectations; no hidden motives.,no strings attached
let [pron] off [pron] hook,705,forgive someone and not hold them accountable for something they did wrong.,"let [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} off [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} hook"
give [pron] kiss of life,15,revive someone who is unconscious or near death.,"give [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} kiss of life"
in cahoots with,223,working together in secret to achieve a goal.,in cahoots with
once in a blue moon,95,very rarely,once in a blue moon
mumbo jumbo,414,language or words that are difficult to understand and are used to confuse or deceive someone.,mumbo jumbo
itchy feet,43,a strong desire to travel or explore new places.,itchy feet
rest up,984,take a break from activities to relax and recover energy.,rest up
red ink,457,a financial loss or deficit.,red ink
see [pron] point,2838,understand and agree with someone's opinion.,"see [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} point"
beyond price,96,invaluable; priceless.,beyond price
ray of sunshine,353,a person who brings joy and happiness to a situation.,ray of sunshine
beats me,813,I have no idea.,beats me
scratch [pron] head,325,puzzled or confused about something.,"scratch [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} head"
ahead of [pron] time,163,earlier than expected.,"ahead of [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} time"
ring [pron] bell,2089,remind someone of something they should know.,"ring [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} bell"
a fate worse than death,297,a situation or experience that is so unpleasant or unbearable that death would be preferable.,a fate worse than death
breathe [pron] last,73,die,"breathe [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} last"
stop by,5515,visit someone or a place for a short period of time.,stop by
hop in,4022,get into a vehicle.,hop in
dead meat,433,"in a very bad situation, likely to suffer serious consequences.",dead meat
see eye to eye,358,"agree on something, have the same opinion.",see eye to eye
set [pron] ball rolling,17,start a process or activity.,"set [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} ball rolling"
stage whisper,328,speaking in a loud whisper so that everyone can hear.,stage whisper
prick up [pron] ears,22,pay close attention to something.,"prick up [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} ears"
burn [pron] fingers,111,experience a negative consequence as a result of taking a risk.,"burn [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} fingers"
peeping tom,335,"a person who secretly watches others, usually for sexual gratification.",peeping tom
keep [pron] eye on,8361,watch or monitor someone or something closely.,"keep [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} eye on"
throw caution to [pron] wind,241,act recklessly without considering the consequences.,"throw caution to [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} wind"
throw in [pron] towel,177,"give up, admit defeat, or concede.","throw in [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} towel"
tighten [pron] belt,46,reduce spending in order to save money.,"tighten [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} belt"
ask out,354,to invite someone on a date.,ask out
let sleeping dogs lie,93,leave a situation alone and not try to change it.,let sleeping dogs lie
magic touch,165,the ability to make something successful with very little effort.,magic touch
above suspicion,89,beyond reproach; having no suspicion of wrongdoing.,above suspicion
a sorry sight,37,something that is very sad or pitiful to look at.,a sorry sight
just what the doctor ordered,149,exactly what is needed to solve a problem or make a situation better.,just what the doctor ordered
caught in the crossfire,273,being in a situation where two opposing forces are in conflict and one is unintentionally harmed by the conflict.,caught in the crossfire
get on board,385,agree to participate in or support something.,get on board
pressed for time,249,having very little time to complete a task.,pressed for time
give me five,514,request a high five as a gesture of celebration or agreement.,give me five
fit as a fiddle,93,in excellent physical condition.,fit as a fiddle
nurse [pron] back to health,107,help someone recover from an illness or injury.,"nurse [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} back to health"
not for a minute,179,"absolutely not, not even for a short period of time.",not for a minute
wet behind the ears,94,inexperienced or naive.,wet behind the ears
be under no illusions,7,do not have false hopes or expectations; be realistic.,be under no illusions
in the eyes of the law,119,according to the legal system.,in the eyes of the law
spill [pron] beans,402,reveal a secret or private information.,"spill [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} beans"
get a life,362,stop wasting time on trivial matters and focus on more important things.,get a life
steal [pron] thunder,93,take the credit or recognition for something that someone else did.,"steal [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} thunder"
[pron] life-saver,26,someone who helps out in a difficult situation and is greatly appreciated.,"[a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} life-saver"
picture of health,107,a person who is in excellent physical and mental health.,picture of health
an act of war,161,a hostile action that is considered to be an aggressive and hostile move.,an act of war
come true,4489,happen as expected or hoped for.,come true
play [pron] joke,85,trick someone in a playful way.,"play [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} joke"
build bridges,43,create a connection or relationship with someone.,build bridges
go for broke,118,take a risk and use all of one's resources in an attempt to achieve a goal.,go for broke
let bygones be bygones,172,stop dwelling on the past and move on.,let bygones be bygones
for love nor money,9,"no matter how hard one tries, it is impossible to obtain something.",for love nor money
go back to [pron] drawing board,23,start over from the beginning with a plan or idea.,"go back to [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} drawing board"
keep tabs on,679,to monitor or keep track of someone or something.,keep tabs on
keeping [pron] fingers crossed,48,hoping for the best possible outcome.,"keeping [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} fingers crossed"
come to terms with,2563,accept and adjust to a difficult situation.,come to terms with
tough love,351,"a form of discipline that is strict and firm, but ultimately done out of love and care for the person.",tough love
many happy returns,29,wishing someone a happy birthday.,many happy returns
drag [pron] feet,231,procrastinate or delay doing something.,"drag [a-zA-Z+#\-.0-9]{1,4}(\s[a-zA-Z+#\-.0-9]{1,4}){0,3} feet"
hell bent,386,"determined to do something, no matter the cost or consequences.",hell bent
