idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff
good egg,a kind person,He is a good egg because he always helps me out when I'm in need,0,"{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 563, 'AssignmentId': '3XCC1ODXD1RSDT2OLQL6KZV79AKQRQ', 'HITId': '33NKDW9FGCY5T4GNY5L20SWOSTOCXK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 198, 'AssignmentId': '3W92K5RLWAXVDE07AI2DNLPJYKBV5C', 'HITId': '33NKDW9FGCY5T4GNY5L20SWOSTOCXK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 40, 'AssignmentId': '3DEL4X4ELM1LJRFMLZ8SM3KX90PXYZ', 'HITId': '33NKDW9FGCY5T4GNY5L20SWOSTOCXK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
a wet blanket,a person who spoils other people's fun.,He's a wet blanket,2,"{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 563, 'AssignmentId': '3XCC1ODXD1RSDT2OLQL6KZV79AKQRQ', 'HITId': '33NKDW9FGCY5T4GNY5L20SWOSTOCXK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 198, 'AssignmentId': '3W92K5RLWAXVDE07AI2DNLPJYKBV5C', 'HITId': '33NKDW9FGCY5T4GNY5L20SWOSTOCXK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 40, 'AssignmentId': '3DEL4X4ELM1LJRFMLZ8SM3KX90PXYZ', 'HITId': '33NKDW9FGCY5T4GNY5L20SWOSTOCXK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,2,2,2,False,False
graveyard shift,"a period of work, for example in a factory, that begins late at night and ends early in the morning","She works the graveyard shift, meaning her job requires longs hours spent in the dark",0,"{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 563, 'AssignmentId': '3XCC1ODXD1RSDT2OLQL6KZV79AKQRQ', 'HITId': '33NKDW9FGCY5T4GNY5L20SWOSTOCXK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 198, 'AssignmentId': '3W92K5RLWAXVDE07AI2DNLPJYKBV5C', 'HITId': '33NKDW9FGCY5T4GNY5L20SWOSTOCXK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 40, 'AssignmentId': '3DEL4X4ELM1LJRFMLZ8SM3KX90PXYZ', 'HITId': '33NKDW9FGCY5T4GNY5L20SWOSTOCXK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",1,1,0,1,False,True
call it a day,"stop doing something, especially working",Let's call it a day,2,"{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 563, 'AssignmentId': '3XCC1ODXD1RSDT2OLQL6KZV79AKQRQ', 'HITId': '33NKDW9FGCY5T4GNY5L20SWOSTOCXK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 198, 'AssignmentId': '3W92K5RLWAXVDE07AI2DNLPJYKBV5C', 'HITId': '33NKDW9FGCY5T4GNY5L20SWOSTOCXK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 40, 'AssignmentId': '3DEL4X4ELM1LJRFMLZ8SM3KX90PXYZ', 'HITId': '33NKDW9FGCY5T4GNY5L20SWOSTOCXK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,2,2,2,False,False
back to the drawing board,back to the planning stage,We went back to the drawing board as we needed a fresh start,1,"{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 563, 'AssignmentId': '3XCC1ODXD1RSDT2OLQL6KZV79AKQRQ', 'HITId': '33NKDW9FGCY5T4GNY5L20SWOSTOCXK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 198, 'AssignmentId': '3W92K5RLWAXVDE07AI2DNLPJYKBV5C', 'HITId': '33NKDW9FGCY5T4GNY5L20SWOSTOCXK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 40, 'AssignmentId': '3DEL4X4ELM1LJRFMLZ8SM3KX90PXYZ', 'HITId': '33NKDW9FGCY5T4GNY5L20SWOSTOCXK', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,True
rub the wrong way,to tick someone off,It rubbed the wrong way when he started criticizing her performance,0,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 38, 'AssignmentId': '39O5D9O8798W0Q735IJFIW3AZH4C34', 'HITId': '3XD2A6FGG2AVZPNLSB5OZUEO7TJ9SS', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 309, 'AssignmentId': '30IQTZXKA0MOMWJ1DRXJUBQDXN7X0V', 'HITId': '3XD2A6FGG2AVZPNLSB5OZUEO7TJ9SS', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 259, 'AssignmentId': '3DBQWDE4YMEI59RY8RGMD4V6CHB5N7', 'HITId': '3XD2A6FGG2AVZPNLSB5OZUEO7TJ9SS', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,My job is like a ball and chain because I have to stay in the office all day,1,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 38, 'AssignmentId': '39O5D9O8798W0Q735IJFIW3AZH4C34', 'HITId': '3XD2A6FGG2AVZPNLSB5OZUEO7TJ9SS', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 309, 'AssignmentId': '30IQTZXKA0MOMWJ1DRXJUBQDXN7X0V', 'HITId': '3XD2A6FGG2AVZPNLSB5OZUEO7TJ9SS', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 259, 'AssignmentId': '3DBQWDE4YMEI59RY8RGMD4V6CHB5N7', 'HITId': '3XD2A6FGG2AVZPNLSB5OZUEO7TJ9SS', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,True
tore your hair out,to be extremely agitated or distressed about something,She was tearing her hair out trying to figure out the cause of the problem,0,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 38, 'AssignmentId': '39O5D9O8798W0Q735IJFIW3AZH4C34', 'HITId': '3XD2A6FGG2AVZPNLSB5OZUEO7TJ9SS', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 309, 'AssignmentId': '30IQTZXKA0MOMWJ1DRXJUBQDXN7X0V', 'HITId': '3XD2A6FGG2AVZPNLSB5OZUEO7TJ9SS', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 259, 'AssignmentId': '3DBQWDE4YMEI59RY8RGMD4V6CHB5N7', 'HITId': '3XD2A6FGG2AVZPNLSB5OZUEO7TJ9SS', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,0,2,2,False,True
in touch,"to remain in contact with someone, especially when separated by time or distance",We need to stay in touch and make sure that we keep up with each other's lives,0,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 38, 'AssignmentId': '39O5D9O8798W0Q735IJFIW3AZH4C34', 'HITId': '3XD2A6FGG2AVZPNLSB5OZUEO7TJ9SS', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 309, 'AssignmentId': '30IQTZXKA0MOMWJ1DRXJUBQDXN7X0V', 'HITId': '3XD2A6FGG2AVZPNLSB5OZUEO7TJ9SS', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 259, 'AssignmentId': '3DBQWDE4YMEI59RY8RGMD4V6CHB5N7', 'HITId': '3XD2A6FGG2AVZPNLSB5OZUEO7TJ9SS', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",0,0,1,0,False,False
birds of a feather,"people with similar tastes, interests, and backgrounds",We are birds of a feather because we both have feathers,1,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 38, 'AssignmentId': '39O5D9O8798W0Q735IJFIW3AZH4C34', 'HITId': '3XD2A6FGG2AVZPNLSB5OZUEO7TJ9SS', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 309, 'AssignmentId': '30IQTZXKA0MOMWJ1DRXJUBQDXN7X0V', 'HITId': '3XD2A6FGG2AVZPNLSB5OZUEO7TJ9SS', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 259, 'AssignmentId': '3DBQWDE4YMEI59RY8RGMD4V6CHB5N7', 'HITId': '3XD2A6FGG2AVZPNLSB5OZUEO7TJ9SS', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
"blood, sweat, and tears",putting a lot of effort to get a task done.,"It took blood, sweat, and tears to make this business a success",0,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 92, 'AssignmentId': '3LPW2N6LK9IV0ZB75SS8RZN0KD1U5L', 'HITId': '341YLJU22XFV5RZQ2QWVL50NSP7I2H', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 290, 'AssignmentId': '3KV0LJBBHI11SE4WTXEP3QB2Z9NMRZ', 'HITId': '341YLJU22XFV5RZQ2QWVL50NSP7I2H', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 281, 'AssignmentId': '31EUONYN2BJHLO6PFXYCWRPAFFFOV9', 'HITId': '341YLJU22XFV5RZQ2QWVL50NSP7I2H', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
kiss and make up,to become friendly again after an argument,They kissed and made up after arguing with each other,0,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 92, 'AssignmentId': '3LPW2N6LK9IV0ZB75SS8RZN0KD1U5L', 'HITId': '341YLJU22XFV5RZQ2QWVL50NSP7I2H', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 290, 'AssignmentId': '3KV0LJBBHI11SE4WTXEP3QB2Z9NMRZ', 'HITId': '341YLJU22XFV5RZQ2QWVL50NSP7I2H', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 281, 'AssignmentId': '31EUONYN2BJHLO6PFXYCWRPAFFFOV9', 'HITId': '341YLJU22XFV5RZQ2QWVL50NSP7I2H', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",2,0,1,0,True,False
kick yourself,to be angry with yourself for something you have or have not done,She kicked herself with her foot,1,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 92, 'AssignmentId': '3LPW2N6LK9IV0ZB75SS8RZN0KD1U5L', 'HITId': '341YLJU22XFV5RZQ2QWVL50NSP7I2H', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 290, 'AssignmentId': '3KV0LJBBHI11SE4WTXEP3QB2Z9NMRZ', 'HITId': '341YLJU22XFV5RZQ2QWVL50NSP7I2H', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 281, 'AssignmentId': '31EUONYN2BJHLO6PFXYCWRPAFFFOV9', 'HITId': '341YLJU22XFV5RZQ2QWVL50NSP7I2H', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,2,1,1,False,False
