idiom,meaning,freq
walk out on,leave a situation or relationship suddenly and without warning.,617
odds and ends,miscellaneous items or small objects.,614
on the record,to make a statement that is officially recorded and can be used as evidence.,595
word for word,"exactly as stated, without any changes.",590
behave yourself,act in an appropriate manner.,587
in a fog,confused and unable to think clearly.,586
get out of hand,become chaotic or uncontrollable.,579
in the heat of the moment,acting impulsively without considering the consequences.,578
between life and death,in a very dangerous or precarious situation.,563
red tape,excessive bureaucracy and regulations that make it difficult to get something done.,561
jump to conclusions,make a decision or judgment without having all the facts.,559
blind date,a date with someone you have never met before.,553
high and mighty,having an attitude of superiority or arrogance.,552
pull yourself together,regain control of your emotions and behavior.,547
cutting edge,the most advanced and up-to-date technology or ideas.,546
curl [pron] lip,express disapproval or contempt for someone or something.,539
play ball,cooperate and agree to do something.,539
in the nick of time,just in time; at the last possible moment.,537
pitch in,contribute to a task or effort.,534
give me five,request a high five as a gesture of celebration or agreement.,514
save face,to maintain one's dignity or reputation in a difficult or embarrassing situation.,513
pull [pron] leg,tease someone in a playful way.,508
a breath of fresh air,something new and refreshing.,508
lose [pron] touch,"cease communication with someone, resulting in a lack of contact.",507
white as a sheet,"very pale, usually due to fear or shock.",506
that makes two of us,I agree with you.,506
no strings attached,no obligations or expectations; no hidden motives.,503
big bucks,a large amount of money.,503
men in suits,people in positions of power or authority.,503
out of this world,extremely good or impressive.,502
fall for it,be tricked or deceived by someone.,491
in limbo,in a state of uncertainty or delay with no resolution in sight.,491
good samaritan,"a person who helps others out of the goodness of their heart, without expecting anything in return.",491
in a nutshell,in a few words; concisely.,484
state of the art,the most advanced and up-to-date technology or equipment available.,481
tie [pron] knot,get married.,479
flea market,a place where people can buy and sell second-hand goods.,478
hold on a second,wait a moment; pause before continuing.,474
bank on,rely on something or someone to provide a desired outcome.,472
skin [pron] alive,criticize someone harshly and publicly.,465
loose cannon,someone who is unpredictable and potentially dangerous.,464
go with [pron] flow,accept and adapt to the current situation without trying to change it.,462
out on the town,"to go out and have a good time, usually with friends.",461
join [pron] club,become part of a group or activity that someone else is already involved in.,458
red ink,a financial loss or deficit.,457
read between [pron] lines,look for a hidden meaning in someone's words or actions.,456
music to [pron] ears,something that is very pleasing or satisfying to hear.,450
call [pron] names,insult or criticize someone in a rude or demeaning way.,450
break [pron] ice,to make someone feel more comfortable in a social situation by starting a conversation.,449
armed to the teeth,to be heavily armed and prepared for battle.,442
dead to the world,completely unaware of what is happening around them.,438
across the board,applying to everyone or everything in a group or category.,437
not in a million years,absolutely not; never.,436
dead meat,"in a very bad situation, likely to suffer serious consequences.",433
on the wagon,abstaining from alcohol or other substances.,433
under construction,in the process of being built or developed.,431
cross [pron] fingers,hope for the best.,431
old hat,something that is no longer new or interesting.,431
cloud nine,a state of extreme happiness or elation.,430
harp on,to continually talk about something in an annoying way.,428
[pron] bottom line is,the most important point or conclusion.,426
black sheep,a person who is seen as a disgrace to a family or group.,424
drop [pron] subject,stop talking about a particular topic or person.,424
a red flag,a warning sign or indication of potential danger or trouble.,422
by and large,generally speaking; on the whole.,421
come to [pron] attention,pay close attention to someone or something.,418
mumbo jumbo,language or words that are difficult to understand and are used to confuse or deceive someone.,414
skin and bones,very thin and emaciated.,412
call [pron] shots,have control over a situation or decision-making process.,403
spill [pron] beans,reveal a secret or private information.,402
so far so good,things are going well up to this point.,401
in the pink,in good health,401
face the music,accept the consequences of one's actions.,397
in the same boat,in the same situation or predicament.,393
magic wand,a solution that will solve all of one's problems quickly and easily.,392
dead and buried,completely finished and forgotten.,387
watch [pron] language,"be careful of what one says, as it could be offensive or inappropriate.",387
hell bent,"determined to do something, no matter the cost or consequences.",386
get on board,agree to participate in or support something.,385
cut [pron] losses,"stop investing time, money, or energy into something that is not working out.",383
a fish out of water,someone who is in an unfamiliar situation and feels uncomfortable or out of place.,379
basket case,a person or situation that is in a state of complete disarray or chaos.,372
break [pron] back,overwhelm someone with a difficult task or situation.,371
golden age,"a period of time in the past that is remembered as being particularly prosperous, peaceful, and/or happy.",365
feeding frenzy,"a situation in which a large group of people are competing for something, often in an aggressive or chaotic manner.",365
in the zone,a state of intense focus and concentration on a task.,363
get a life,stop wasting time on trivial matters and focus on more important things.,362
water under the bridge,something that happened in the past and is no longer relevant.,359
see eye to eye,"agree on something, have the same opinion.",358
take [pron] hike,tell someone to go away or leave.,357
forbidden fruit,something that is attractive because it is not allowed or is off limits.,354
ask out,to invite someone on a date.,354
ray of sunshine,a person who brings joy and happiness to a situation.,353
tough love,"a form of discipline that is strict and firm, but ultimately done out of love and care for the person.",351
turn [pron] blind eye,ignore something that one should not ignore.,349
icing on the cake,something extra that makes a situation even better than it already is.,348
pull [pron] plug,end or stop something abruptly.,344
run for [pron] life,flee from a dangerous situation as quickly as possible.,343
turn [pron] tables,"reverse a situation, especially to gain an advantage over someone.",343
on cloud nine,feeling extremely happy and content.,343
filthy rich,extremely wealthy.,341
[pron] man of few words,someone who speaks very little and is not very talkative.,337
peeping tom,"a person who secretly watches others, usually for sexual gratification.",335
under the weather,feeling unwell or sick.,334
glass ceiling,an unacknowledged barrier that prevents a certain group from rising to a higher level of power or success.,334
right as rain,in perfect condition or health.,332
get [pron] act together,organize one's life and become more responsible.,331
stage whisper,speaking in a loud whisper so that everyone can hear.,328
kill time,to pass time in an unproductive or unenjoyable way.,327
scratch [pron] head,puzzled or confused about something.,325
heart of gold,a kind and generous person.,322
at the drop of a hat,without hesitation; immediately.,321
nest egg,a sum of money saved for future use.,313
building blocks,the basic elements that are necessary to create something.,312
love child,a child born out of wedlock.,311
easy on the eye,pleasing to look at.,311
last but not least,"used to introduce the final item in a list of items, often to give it special emphasis.",309
act [pron] age,behave in a way that is not appropriate for one's age.,309
on thin ice,"in a precarious situation, at risk of making a mistake or getting into trouble.",307
night owl,someone who stays up late and sleeps in late.,298
a fate worse than death,a situation or experience that is so unpleasant or unbearable that death would be preferable.,297
get on [pron] nerves,annoy or irritate someone.,296
hit [pron] roof,become extremely angry.,296
safety in numbers,being in a group makes one feel more secure and protected.,294
have [pron] blast,have a great time.,294
rack [pron] brain,think hard and long about something in order to come up with a solution.,289
in the dock,"in a court of law, accused of a crime and awaiting judgement.",286
come to fruition,come to a successful conclusion.,284
come to blows,engage in physical violence.,283
man in blue,a police officer,282
twist [pron] arm,persuade someone to do something they are reluctant to do.,282
an eye for an eye,retaliation in kind; the idea that a person who has been wronged should be given the same punishment as the wrongdoer.,280
carpe diem,seize the day; make the most of the present moment.,275
caught in the crossfire,being in a situation where two opposing forces are in conflict and one is unintentionally harmed by the conflict.,273
time flies,the passing of time seems to go quickly.,270
break a leg,wish someone good luck,269
wet blanket,a person who is unenthusiastic or who discourages others from having fun.,264
testing [pron] waters,trying something out to see how it goes or how people respond.,263
brought forward,moved to an earlier time or date.,263
dead ringer,an exact duplicate or copy of something.,263
in name only,having a title or position but no real authority or power.,258
put on [pron] brave face,try to appear strong and confident even when feeling scared or uncertain.,253
above the law,not subject to the same rules and regulations as everyone else.,253
better late than never,it is better to do something late than not do it at all.,252
[pron] man of action,someone who is quick to take action and get things done.,251
come hell or high water,no matter what obstacles or difficulties arise.,250
pressed for time,having very little time to complete a task.,249
fall prey to,"become a victim of something, usually a scam or deception.",244
throw caution to [pron] wind,act recklessly without considering the consequences.,241
beyond [pron] wildest dreams,far better than what was expected or hoped for.,239
technically speaking,used to emphasize that one is speaking accurately and precisely.,231
find [pron] feet,become comfortable and confident in a new situation.,231
drag [pron] feet,procrastinate or delay doing something.,231
poetic justice,"when someone receives the consequences of their own actions, often in a way that is fitting or appropriate.",230
say [pron] piece,express one's opinion or feelings on a particular subject.,229
shoot straight,be honest and direct in one's communication.,227
hold your horses,wait a moment; be patient.,227
the best of both worlds,having the advantages of two different situations at the same time.,227
aching heart,feeling of deep sadness or longing.,226
bag of tricks,"a collection of strategies, techniques, or resources that can be used to achieve a desired result.",224
in cahoots with,working together in secret to achieve a goal.,223
pipe down,be quiet; stop talking.,223
come what may,no matter what happens.,223
hit [pron] nail on [pron] head,accurately identify or describe something.,222
an arm and a leg,a large amount of money,222
alive and kicking,in good health and full of energy.,221
wild-goose chase,a futile search for something that is impossible to find.,221
come from behind,to achieve success after being in a difficult or losing position.,217
for a song,for a very low price.,216
through thick and thin,remaining loyal and supportive in difficult times.,215
about face,a sudden and complete change of opinion or direction.,213
bells and whistles,extra features or details that are not necessary but make something more attractive or interesting.,212
alley cat,a person who is wild and unpredictable.,212
come to [pron] head,reach a climax or point of resolution.,211
go out on [pron] limb,"take a risk, especially one that could have serious consequences.",210
hit [pron] ceiling,reach the maximum level of success or achievement that one can attain.,208
come of age,reach adulthood and the associated privileges and responsibilities.,207
keep up the good work,continue to do something well or to make progress.,206
date rape,a form of sexual assault in which the perpetrator is someone the victim is in a romantic relationship with or is dating.,205
hot potato,a situation or issue that is difficult to handle and is quickly passed from one person to another.,204
hit [pron] sack,go to bed.,204
big wheel,a person of influence or importance.,204
nine times out of ten,almost always; usually.,203
scrape together,gather or accumulate something with difficulty or by using all available resources.,202
all that jazz,"all the extra details, activities, or embellishments.",201
inside job,a crime or other misdeed committed by someone within an organization or group.,200
a sight for sore eyes,something that is very pleasing to see.,198
add insult to injury,make a bad situation even worse.,196
on the same wavelength,in agreement or understanding with someone else.,195
keep [pron] eyes peeled,be alert and watchful for something.,195
kiss and make up,resolve a conflict and restore a friendly relationship.,194
stranger things have happened,it is possible that something unexpected or unlikely could occur.,192
against time,working quickly and urgently to complete a task before a deadline.,187
love nest,a place where two people in a romantic relationship live together.,186
well read,"having a wide knowledge of literature, history, and other topics.",186
act of god,"an event that is beyond human control, such as a natural disaster.",183
a clean bill of health,a report or statement that indicates that someone or something is in good health or has been approved.,181
drive [pron] hard bargain,negotiate aggressively to get the best possible deal.,180
not for a minute,"absolutely not, not even for a short period of time.",179
nail it,successfully complete a task or achieve a goal.,177
throw in [pron] towel,"give up, admit defeat, or concede.",177
achilles heel,a person's weak spot or vulnerability.,175
name [pron] day,a day when someone is celebrated or honored.,174
read [pron] riot act,scold someone severely for their misbehavior.,174
come out of [pron] closet,"acknowledge one's true identity, especially when it is different from what was previously assumed or publicly known.",173
a blessing in disguise,a good thing that initially seemed bad.,172
let bygones be bygones,stop dwelling on the past and move on.,172
a slap on the wrist,a mild punishment or reprimand.,172
dead wood,people or things that are no longer useful or productive.,170
fall from grace,"to lose the favor or respect of someone or something, usually due to a mistake or wrongdoing.",169
food for thought,something to consider or ponder over.,168
start from scratch,"begin a task or project from the beginning, without using any existing resources or materials.",168
magic touch,the ability to make something successful with very little effort.,165
clock out,to finish work for the day and leave the workplace.,164
keep [pron] head above water,manage to stay afloat financially or emotionally despite difficult circumstances.,164
ahead of [pron] time,earlier than expected.,163
an act of war,a hostile action that is considered to be an aggressive and hostile move.,161
young blood,"new, young people who bring fresh ideas and energy to a company or organization.",160
bite [pron] bullet,accept a difficult situation and endure it.,158
nuts and bolts,the basic details or fundamentals of something.,158
nine to five,"a regular job with regular hours, typically from 9am to 5pm.",158
beach bum,"a person who spends a lot of time at the beach, usually for leisure activities.",157
a fly on the wall,an observer who is present but not noticed or involved in the situation.,156
dark horse,a person or thing that unexpectedly achieves success or prominence.,155
just what the doctor ordered,exactly what is needed to solve a problem or make a situation better.,149
pop [pron] question,ask someone to marry you.,148
cat burglar,"a thief who steals items of value from buildings, usually by entering through a window or other opening.",147
practice makes perfect,repeated effort and practice leads to mastery of a skill or task.,146
perfect pitch,the ability to accurately identify or reproduce a given musical note without the use of an external reference.,144
green with envy,feeling very jealous of someone else's success or possessions.,143
bag of bones,a person who is very thin and frail.,142
in a trice,very quickly.,142
silver fox,an attractive older man.,142
bear fruit,produce a successful result.,142
weather [pron] storm,persevere through a difficult situation.,141
rain or shine,"no matter what the conditions, the activity will take place.",140
turn back [pron] clock,go back in time to a previous point in one's life.,139
greener pastures,a better situation or opportunity than the one currently being experienced.,139
get [pron] sack,to be fired from a job.,139
pick up [pron] tab,pay for someone else's expenses.,139
party animal,someone who loves to attend parties and social gatherings.,138
whet [pron] appetite,stimulate someone's interest or desire for something.,136
son of a gun,an expression of surprise or admiration.,136
smell [pron] rat,suspect that someone is up to something dishonest or untrustworthy.,136
bag lady,a homeless woman who carries her possessions in bags.,135
pain in the neck,a person or thing that is annoying or difficult to deal with.,134
fall out of love,stop feeling romantic love for someone.,133
shift gears,"change direction, approach, or focus.",133
weak at the knees,feeling overwhelmed with emotion or excitement.,131
wine and dine,to treat someone to a luxurious meal and drinks in order to impress them.,129
daily grind,"the routine of everyday life, especially when it is tedious and monotonous.",128
gas up,to fill up a vehicle with fuel.,125
live and learn,gain knowledge and experience from mistakes and successes.,125
shelf life,the amount of time something is useful or relevant before it becomes outdated.,124
curiosity killed the cat,being too inquisitive can lead to trouble.,124
banana republic,"a small, politically unstable country, typically in Latin America, that is economically dependent on a single export, such as bananas.",124
make waves,cause trouble or disruption.,121
rule of thumb,"a general principle or guideline, rather than an exact formula.",120
fight fire with fire,respond to aggression with aggression.,119
in the eyes of the law,according to the legal system.,119
play [pron] field,date multiple people at the same time without committing to any one person.,119
go for broke,take a risk and use all of one's resources in an attempt to achieve a goal.,118
not all there,not mentally present or aware; not thinking clearly.,118
big cheese,an important or influential person.,118
thumbs down,express disapproval or rejection of something.,117
[pron] word is law,what someone says is taken as absolute truth and must be followed.,115
ignorance is bliss,not knowing something can be more comfortable than knowing it.,115
cut corners,"to do something in a way that is not thorough or complete, usually in order to save time or money.",114
yes man,"someone who always agrees with their boss or superior, regardless of the situation.",113
fall on deaf ears,be ignored or not taken seriously.,112
sink or swim,face a difficult situation and either succeed or fail.,112
burn [pron] fingers,experience a negative consequence as a result of taking a risk.,111
bring to [pron] table,"contribute one's ideas, knowledge, or resources to a discussion or situation.",110
worth [pron] weight in gold,extremely valuable or useful.,110
time is money,"the more time you spend on something, the more money it will cost.",110
the upper crust,the wealthiest and most influential members of society.,110
raw deal,an unfair or unjust situation.,109
jump [pron] gun,act too quickly or prematurely.,109
red handed,caught in the act of doing something wrong.,109
man of means,a wealthy person.,108
ride shotgun,to sit in the front passenger seat of a car.,107
nurse [pron] back to health,help someone recover from an illness or injury.,107
lay down [pron] law,establish a set of rules or expectations that must be followed.,107
gain ground,"make progress, especially in a difficult situation.",107
cash cow,a business or product that generates a steady and reliable income.,107
picture of health,a person who is in excellent physical and mental health.,107
give [pron] slip,escape or elude someone.,106
beef up,to make something stronger or more powerful.,105
fan [pron] flames,encourage someone to become more passionate or excited about something.,105
the letter of the law,"adhering strictly to the exact wording of a law or rule, without considering the spirit or intent of the law.",105
actions speak louder than words,what someone does is more important than what they say.,105
off the beaten track,not in a place that is frequented by many people; away from the usual paths.,105
company man,a person who is loyal to their employer and willing to do whatever is asked of them.,105
speak [pron] same language,have a mutual understanding and be able to communicate effectively.,104
zero hour,the time when a plan of action is set to begin.,104
stiff upper lip,remain calm and composed in the face of adversity.,104
pay [pron] dues,work hard and accept the necessary responsibilities to achieve success.,104
snake in [pron] grass,someone who is not what they appear to be and is likely to be untrustworthy.,103
pig out,overeat or eat a large amount of food in a short period of time.,102
brass tacks,get to the point; focus on the practical details.,102
money talks,wealth and power can influence decisions and outcomes.,101
drop [pron] ball,fail to do something that was expected or required.,101
white elephant,a possession that is useless and expensive to maintain.,101
ill-gotten gains,money or other benefits that were obtained illegally or unethically.,100
fill [pron] shoes,"take on the same responsibilities as someone else, usually after they have left.",99
take [pron] stab at,try one's best to do something.,99
be [pron] item,be a couple or romantically involved with someone.,98
watch [pron] clock,"pay close attention to the time, especially when it is running out.",98
keep at bay,to keep someone or something away or at a distance.,98
hale and hearty,in good health and full of energy.,98
race against time,try to do something quickly before a deadline.,97
bury [pron] hatchet,resolve a conflict and make peace with someone.,97
beyond price,invaluable; priceless.,96
once in a blue moon,very rarely,95
quantum leap,"a sudden, dramatic, and significant advancement or improvement.",95
wet behind the ears,inexperienced or naive.,94
fit as a fiddle,in excellent physical condition.,93
let sleeping dogs lie,leave a situation alone and not try to change it.,93
steal [pron] thunder,take the credit or recognition for something that someone else did.,93
back to the drawing board,"start over from the beginning, usually after a failed attempt.",92
by the numbers,following a set of instructions or a plan exactly as it is written.,92
kick [pron] bucket,die,91
great minds think alike,people who are similarly intelligent or creative often have similar ideas or opinions.,91
bad egg,a person who is not trustworthy or reliable.,90
stitch up,to arrange something in a way that is advantageous to oneself.,90
bricks and mortar,"a physical business or store, as opposed to an online business.",90
above suspicion,beyond reproach; having no suspicion of wrongdoing.,89
cost [pron] arm and [pron] leg,be very expensive.,87
elbow grease,hard work and effort.,87
rat race,"a stressful, unfulfilling lifestyle in which one is constantly competing with others to achieve success.",87
law of [pron] jungle,"the idea that in a society without laws, the strongest and most powerful will dominate.",86
salt of the earth,"a person who is honest, hardworking, and reliable.",86
man in the street,"the average person, especially as representing public opinion.",86
against the clock,working quickly and under pressure to complete a task before a certain deadline.,86
open warfare,a situation in which two sides are openly hostile and actively fighting each other.,85
play [pron] joke,trick someone in a playful way.,85
make [pron] mouth water,make someone feel excited or eager for something.,84
hocus pocus,a phrase used to describe something that is done in a mysterious or magical way.,83
bottle and glass,a phrase used to describe a situation where two people are in a close relationship.,82
leave [pron] nest,leave the home of one's parents and become independent.,82
add fuel to [pron] fire,make a bad situation worse by adding more problems or complications.,81
mea culpa,an expression of apology or regret for a mistake or wrong-doing.,81
fight [pron] good fight,"try one's best to achieve a goal, even if it is difficult or unlikely to be successful.",80
go through [pron] roof,increase dramatically or to an extreme degree.,79
blue-eyed boy,a person who is favored or preferred by someone in a position of authority.,79
long in the tooth,older in age.,79
weather permitting,if the weather is suitable or favorable.,79
keep [pron] eye open,be vigilant and watchful for potential problems or opportunities.,78
be a sport,"be generous, cooperative, and willing to help.",77
level playing field,a situation in which all participants have an equal chance of success.,77
calendar year,"a period of twelve months, usually from January 1 to December 31.",77
al fresco,eating or dining outdoors.,77
take [pron] bull by [pron] horns,face a difficult situation head-on and with determination.,76
run out of steam,lose energy or enthusiasm for something.,75
run like [pron] wind,move very quickly.,75
call [pron] spade [pron] spade,"tell it like it is, speak honestly and directly about a situation.",75
made of money,very wealthy,73
breathe [pron] last,die,73
self-made man,a person who has achieved success and wealth through their own hard work and determination.,73
in the family way,pregnant.,73
tongue in cheek,"said or done in a humorous way, not to be taken seriously.",72
beat [pron] retreat,"leave a place or situation quickly, usually in a disorganized or embarrassed manner.",70
lose [pron] shirt,to suffer a great financial loss.,70
feel [pron] age,"feel the effects of aging, especially in terms of physical decline.",69
all together now,everyone should do something at the same time.,68
chicken feed,"a small amount of money, usually considered insignificant.",68
couch potato,a person who spends a lot of time sitting around and watching television.,68
flotsam and jetsam,the random objects or debris that remain after a shipwreck or other disaster.,67
come out of [pron] woodwork,"to suddenly appear or become known, especially after a period of obscurity or inactivity.",67
pull [pron] wool over [pron] eyes,deceive someone by making them believe something that is not true.,67
strike [pron] chord,resonate with someone emotionally.,67
as high as a kite,very happy or excited.,67
walk of life,the type of job or lifestyle someone has.,66
war of words,"a heated argument or disagreement between two people or groups, usually involving verbal insults or criticism.",66
have friends in high places,have influential connections with people in positions of power.,65
stick to [pron] guns,remain firm in one's opinion or decision despite opposition or criticism.,64
never-never land,a place or situation that is not real or attainable.,63
under the wire,just in time; at the last possible moment.,63
all thumbs,clumsy or awkward with one's hands.,62
cream of the crop,the best of a group or collection.,62
wear [pron] heart on [pron] sleeve,express one's emotions openly and without reservation.,62
draw fire,attract criticism or hostility.,60
bet [pron] bottom dollar,be absolutely certain of something.,59
ethnic cleansing,the systematic removal of a particular ethnic group from a given area by force or intimidation.,59
nitty gritty,the most important details or facts of a situation.,58
foam at [pron] mouth,be extremely angry and agitated.,58
raise eyebrows,express surprise or disapproval.,58
new kid on [pron] block,a newcomer to a place or situation.,57
blood is thicker than water,family relationships are more important than any other relationships.,57
alphabet soup,a confusing situation with many acronyms and abbreviations.,57
[pron] place in [pron] sun,give someone recognition or praise for their accomplishments.,57
cheek by jowl,"very close together, side by side.",56
a foot in the door,a way to get a start in a particular field or to gain access to a particular opportunity.,55
high season,the busiest time of year for a particular activity or industry.,54
to a fine art,to do something with great skill and precision.,54
bend over backwards,make a great effort to please someone or do something.,54
on a shoestring,with very little money or resources.,54
strapped for cash,having very little money available.,54
jack of all trades,someone who is competent in many different skills or activities.,53
skid row,"a poor and run-down area of a city, usually inhabited by homeless people.",53
give [pron] [pron] cold shoulder,treat someone with indifference or hostility.,53
leave no stone unturned,to make a thorough effort to find something or to achieve a goal.,53
stand [pron] test of time,remain relevant and popular over a long period of time.,52
dog days,a period of time that is hot and uncomfortable.,52
absence makes the heart grow fonder,being away from someone or something can make one appreciate them more.,52
in the cold light of day,when looking at a situation objectively and without emotion.,51
running battle,a long-term conflict or dispute that continues over a period of time.,51
blow [pron] fuse,become extremely angry or frustrated.,50
well hung,having a large penis.,50
drop [pron] bombshell,reveal a shocking or unexpected piece of information.,50
strike [pron] balance,achieve a state of equilibrium between two opposing forces.,49
play safe,avoid taking risks or making decisions that could have negative consequences.,49
pass [pron] buck,avoid taking responsibility for something by blaming someone else.,49
keeping [pron] fingers crossed,hoping for the best possible outcome.,48
poetry in motion,something that is graceful and beautiful in its execution.,48
have kittens,to become extremely anxious or worried.,47
tighten [pron] belt,reduce spending in order to save money.,46
lame duck,a person or organization that is no longer in power or has lost their influence.,46
cry wolf,"to make false alarms or warnings, leading people to not take you seriously when you are telling the truth.",46
pie in the sky,an unrealistic hope or dream that is unlikely to come true.,44
in the best of health,in excellent physical and mental health.,43
build bridges,create a connection or relationship with someone.,43
