index,idiom_set,idiom
160,"frozenset({'method', 'madness'})",method to madness
161,"frozenset({'make', 'long', 'short', 'story'})",make a long story short
163,"frozenset({'worth', 'words', 'thousand', 'picture'})",a picture is worth a thousand words
164,"frozenset({'playing', 'full', 'not', 'deck', 'with'})",not playing with a full deck
165,"frozenset({'rags', 'part', 'brass'})",part brass rags
166,"frozenset({'raft', 'whole'})",a whole raft of
167,"frozenset({'devil', 'speak'})",speak of the devil
168,"frozenset({'taste', 'medicine'})",taste of own medicine
169,"frozenset({'s', 'from', 'horse', 'straight', 'mouth'})",straight from the horse's mouth
170,"frozenset({'yards', 'nine', 'whole'})",whole nine yards
171,"frozenset({'caught', 'wouldn', 't', 'dead'})",wouldn't be caught dead
172,"frozenset({'skin', 'teeth'})",by the skin of your teeth
173,"frozenset({'over', 'moon'})",over the moon
174,"frozenset({'out', 'hat', 'rabbit', 'pull'})",pull a rabbit out of the hat
175,"frozenset({'somebody', 'some', 'slack', 'cut'})",cut somebody some slack
176,"frozenset({'down', 'flames', 'go'})",go down in flames
177,"frozenset({'tar', 'with', 'brush', 'same'})",tar with the same brush
178,"frozenset({'hip', 'from', 'shoot'})",shoot from the hip
179,"frozenset({'out', 'swinging', 'come'})",come out swinging
180,"frozenset({'extra', 'mile', 'go'})",go the extra mile
181,"frozenset({'fumes', 'running'})",running on fumes
182,"frozenset({'out', 'someone', 'sell'})",sell someone out
183,"frozenset({'care', 'couldn', 't', 'less'})",couldn't care less
184,"frozenset({'away', 'blow'})",blow away
185,"frozenset({'pink', 'tickled'})",tickled pink
186,"frozenset({'let', 'fall', 'where', 'chips', 'may'})",let the chips fall where they may
187,"frozenset({'s', 'throw', 'stone'})",stone's throw
188,"frozenset({'as', 'good', 'guess'})",your guess is as good as mine
189,"frozenset({'die', 'hard', 'habits', 'old'})",old habits die hard
190,"frozenset({'x', 'factor'})",X Factor
191,"frozenset({'man', 'hard', 'find', 'good'})",a good man is hard to find
192,"frozenset({'class', 'clown'})",class clown
193,"frozenset({'tall', 'story'})",tall story
194,"frozenset({'first', 'love', 'sight'})",love at first sight
195,"frozenset({'shally', 'shilly'})",shilly-shally
196,"frozenset({'bird', 'little', 'told'})",a little bird told me
197,"frozenset({'year', 'dot'})",year dot
198,"frozenset({'tittle', 'jot', 'or'})",jot or tittle
199,"frozenset({'love', 'fall'})",fall in love
200,frozenset({'crush'}),crush
201,"frozenset({'as', 'mustard', 'keen'})",keen as mustard
202,"frozenset({'paddle', 'canoe'})",paddle own canoe
203,"frozenset({'out', 'with', 'go'})",go out with
204,"frozenset({'lie', 'low'})",lie low
205,"frozenset({'happy', 'clam', 'as'})",happy as a clam
206,"frozenset({'hissy', 'fit'})",hissy fit
207,"frozenset({'steady', 'go'})",go steady
208,"frozenset({'lovey', 'dovey'})",lovey-dovey
209,"frozenset({'out', 'off', 'wear'})","wear off, out"
210,"frozenset({'with', 'smitten'})",smitten with
211,"frozenset({'would', 'beggars', 'wishes', 'ride', 'horses', 'if'})","if wishes were horses, beggars would ride"
212,"frozenset({'ninepence', 'as', 'nice'})",as nice as ninepence
213,"frozenset({'hat', 'll', 'i', 'eat'})",i'll eat my hat
214,"frozenset({'born', 'silver', 'spoon', 'with', 'mouth'})",born with a silver spoon in mouth
215,"frozenset({'s', 'uncle', 'bob'})",bob's your uncle
216,"frozenset({'love', 'puppy'})",puppy love
217,"frozenset({'life', 'love'})",love of life
218,"frozenset({'out', 'veg'})",veg out
219,"frozenset({'s', 'appetite', 'whet', 'one'})",whet one's appetite
220,"frozenset({'have', 'hots'})",have the hots for
221,"frozenset({'need', 'friend', 'indeed'})",a friend in need is a friend indeed
222,"frozenset({'bald', 'as', 'coot'})",as bald as a coot
223,"frozenset({'dancing', 'singing', 'all'})","all singing, all dancing"
224,"frozenset({'door', 'key', 'golden', 'can', 'open', 'any'})",a golden key can open any door
225,"frozenset({'little', 'what', 'does', 'fancy', 'good'})",a little of what you fancy does you good
226,"frozenset({'will', 'clutch', 'straw', 'man', 'drowning'})",a drowning man will clutch at a straw
227,"frozenset({'cat', 'king', 'look', 'may'})",a cat may look at a king
228,"frozenset({'as', 'nod', 'wink', 'good'})",a nod is as good as a wink
229,"frozenset({'and', 'its', 'place', 'everything'})",a place for everything and everything in its place
230,"frozenset({'as', 'mile', 'miss', 'good'})",a miss is as good as a mile
231,"frozenset({'little', 'dangerous', 'knowledge', 'thing'})",a little knowledge is a dangerous thing
232,"frozenset({'rolling', 'no', 'moss', 'gathers', 'stone'})",a rolling stone gathers no moss
233,"frozenset({'penny', 'earned', 'saved'})",a penny saved is a penny earned
234,"frozenset({'fly', 'or', 'not', 'flea', 'hurt'})",not hurt a fly or flea
235,"frozenset({'s', 'hornet', 'stir', 'nest', 'up'})",stir up a hornet's nest
236,"frozenset({'eyed', 'bug'})",bug-eyed
237,"frozenset({'stock', 'laughing'})",laughing stock
238,"frozenset({'hive', 'activity'})",hive of activity
239,"frozenset({'use', 'loaf'})",use your loaf
240,"frozenset({'around', 'gills', 'green'})",green around the gills
241,"frozenset({'bug', 'someone'})",bug someone
242,"frozenset({'as', 'toad', 'calm', 'sun'})",as calm as a toad in the sun
243,"frozenset({'turn', 'turtle'})",turn turtle
244,"frozenset({'compliment', 'fish'})",fish for a compliment
245,"frozenset({'clam', 'up'})",clam up
246,frozenset({'whale'}),a whale of
247,frozenset({'doozy'}),doozy
248,"frozenset({'s', 'ear', 'music', 'gogh', 'van'})",Van Gogh's ear for music
249,"frozenset({'dry', 'run'})",dry run
250,"frozenset({'hog', 'high'})",high on the hog
251,"frozenset({'easy', 'as', 'pie'})",as easy as pie
252,"frozenset({'as', 'sick', 'dog'})",sick as a dog
253,"frozenset({'ears', 'all'})",all ears
254,"frozenset({'down', 'batten', 'hatches'})",batten down the hatches
255,frozenset({'meantime'}),in the meantime
256,frozenset({'take'}),take on
257,frozenset({'catnap'}),catnap
258,"frozenset({'hold', 'tongue'})",hold tongue
259,"frozenset({'hearted', 'warm'})",warm-hearted
260,frozenset({'course'}),of course
261,"frozenset({'spanner', 'works'})",spanner in the works
262,"frozenset({'see', 'light'})",see the light
263,"frozenset({'hole', 'black'})",black hole
264,frozenset({'row'}),in a row
265,"frozenset({'up', 'hang'})",hang up
266,"frozenset({'mark', 'up'})",up to the mark
267,"frozenset({'wind', 'up'})",wind up
268,"frozenset({'crap', 'cut'})",cut the crap
269,"frozenset({'roller', 'high'})",high roller
270,"frozenset({'take', 'turns'})",take turns
271,"frozenset({'shot', 'give'})",give a shot
272,"frozenset({'come', 'yet', 'best'})",the best is yet to come
274,"frozenset({'take', 'chin'})",take it on the chin
275,"frozenset({'out', 'point'})",point out
276,"frozenset({'fat', 'chance'})",fat chance
277,"frozenset({'miles', 'before', 'go', 'i', 'sleep'})",miles to go before I sleep
278,"frozenset({'and', 'heart', 'soul'})",heart and soul
279,"frozenset({'calling', 'kettle', 'black', 'pot'})",pot calling the kettle black
280,"frozenset({'armour', 'knight', 'shining'})",knight in shining armour
283,frozenset({'pardon'}),pardon me
284,"frozenset({'out', 'figure'})",figure out
285,"frozenset({'crow', 'eat'})",eat crow
286,"frozenset({'platter', 'silver'})",on a silver platter
287,frozenset({'huff'}),in a huff
288,"frozenset({'sheet', 'cheat'})",cheat sheet
289,"frozenset({'blank', 'point'})",point blank
290,"frozenset({'what', 'say'})",say what
291,frozenset({'count'}),count on
292,"frozenset({'out', 'run'})",run out
293,"frozenset({'come', 'over'})",come over
294,"frozenset({'eager', 'beaver'})",eager beaver
295,frozenset({'touch'}),in touch
296,"frozenset({'out', 'fall'})",fall out
297,"frozenset({'day', 'end'})",end of the day
298,"frozenset({'silence', 'golden'})",silence is golden
299,"frozenset({'hand', 'other'})",on the other hand
300,"frozenset({'care', 'take'})",take care
301,"frozenset({'will', 'tell', 'time'})",time will tell
302,"frozenset({'river', 'cry'})",cry me a river
303,"frozenset({'mend', 'fences'})",mend fences
304,"frozenset({'second', 'playing', 'fiddle'})",playing second fiddle
306,"frozenset({'throw', 'out', 'baby', 'bathwater', 'with'})",throw the baby out with the bathwater
307,"frozenset({'sitting', 'duck'})",sitting duck
308,"frozenset({'dice', 'roll'})",roll the dice
309,"frozenset({'after', 'time'})",time after time
310,"frozenset({'drop', 'dime'})",at the drop of a dime
311,"frozenset({'voice', 'wilderness', 'crying'})",a voice crying in the wilderness
312,"frozenset({'zero', 'game', 'sum'})",zero-sum game
313,"frozenset({'zip', 'past'})",zip past
314,"frozenset({'anger', 'fit'})",fit of anger
315,"frozenset({'words', 'eat'})",eat words
316,"frozenset({'ups', 'and', 'downs'})",ups and downs
317,"frozenset({'halfway', 'meet'})",meet halfway
318,"frozenset({'ms', 'right', 'mr'})","Mr Right, Ms Right"
319,frozenset({'vain'}),in vain
321,"frozenset({'up', 'no', 'good'})",up to no good
322,"frozenset({'stands', 'reason'})",stands to reason
323,"frozenset({'so', 'speak'})",so to speak
324,"frozenset({'free', 'spirit'})",free spirit
325,"frozenset({'and', 'about', 'up'})",up and about
326,"frozenset({'above', 'head', 'water'})",head above water
327,"frozenset({'ends', 'meet', 'make'})",make ends meet
328,"frozenset({'habit', 'kick'})",kick the habit
329,"frozenset({'bitten', 'shy', 'twice', 'once'})","once bitten, twice shy"
330,"frozenset({'first', 'light'})",first light
331,"frozenset({'fire', 'under'})",under fire
332,"frozenset({'friend', 'fair', 'weather'})",fair-weather friend
333,"frozenset({'dollars', 'donuts'})",dollars to donuts
334,"frozenset({'as', 'blind', 'bat'})",blind as a bat
335,"frozenset({'broken', 'heart'})",broken heart
336,frozenset({'drop'}),drop by
337,"frozenset({'off', 'ward'})",ward off
338,frozenset({'roll'}),on a roll
339,"frozenset({'food', 'fast'})",fast food
340,"frozenset({'s', 'toot', 'horn', 'one'})",toot one's own horn
341,"frozenset({'into', 'fire', 'out', 'pan', 'frying'})",out of the frying pan into the fire
342,"frozenset({'easter', 'egg'})",Easter egg
343,"frozenset({'easy', 'does'})",easy does it
344,"frozenset({'brakes', 'put'})",put the brakes on
345,frozenset({'re'}),you're on
346,"frozenset({'tight', 'sleep'})",sleep tight
347,"frozenset({'up', 'give'})",give up
348,frozenset({'mark'}),on your mark
349,"frozenset({'devil', 'wife', 'beating'})",the devil is beating his wife
350,"frozenset({'take', 'over'})",take over
351,frozenset({'lost'}),lost on
352,frozenset({'lose'}),lose it
353,"frozenset({'words', 'mark'})",mark my words
354,frozenset({'earworm'}),earworm
355,"frozenset({'all', 'rage'})",all the rage
356,frozenset({'so'}),so so
357,"frozenset({'so', 'and'})",so and so
358,frozenset({'mend'}),on the mend
359,"frozenset({'off', 'get'})",get off
360,frozenset({'prone'}),prone to
361,"frozenset({'out', 'and', 'over'})",over and out
362,"frozenset({'and', 'over', 'again'})",over and over again
363,"frozenset({'and', 'above', 'over'})",over and above
364,"frozenset({'slip', 'tongue'})",slip of the tongue
365,"frozenset({'road', 'recovery'})",road to recovery
366,"frozenset({'stand', 'out'})",stand out
367,"frozenset({'piece', 'work'})",piece of work
368,"frozenset({'soon', 'speak'})",speak soon
369,"frozenset({'piece', 'writing'})",piece of writing
370,"frozenset({'get', 'goat'})",get your goat
371,"frozenset({'radar', 'under'})",under the radar
372,"frozenset({'neck', 'and'})",neck and neck
373,"frozenset({'next', 'kin'})",next of kin
374,"frozenset({'long', 'last'})",last long
375,"frozenset({'snow', 'under'})",snow under
377,"frozenset({'not', 'glitters', 'all', 'gold'})",all that glitters is not gold
378,"frozenset({'freezes', 'hell', 'when', 'over'})",when hell freezes over
379,"frozenset({'call', 'too', 'close'})",too close to call
380,"frozenset({'best', 'all'})",all the best
381,"frozenset({'learning', 'curve'})",learning curve
382,"frozenset({'as', 'simple'})",as simple as that
383,"frozenset({'s', 'will', 'where', 'there', 'way'})","where there's a will, there's a way"
385,"frozenset({'s', 'better', 'safe', 'sorry', 'than'})",it's better to be safe than sorry
386,"frozenset({'things', 'first'})",first things first
387,"frozenset({'still', 'deep', 'run', 'waters'})",still waters run deep
388,"frozenset({'ain', 't', 'broke', 'don', 'fix', 'if'})","if it ain't broke, don't fix it"
389,"frozenset({'before', 'run', 'walk', 'learn'})",learn to walk before you run
390,"frozenset({'t', 'money', 'doesn', 'grow', 'trees'})",money doesn't grow on trees
391,"frozenset({'hands', 'tied'})",hands are tied
393,"frozenset({'news', 'no', 'good'})",no news is good news
394,"frozenset({'ll', 'back', 'scratch', 'i', 'if'})","if you scratch my back, I'll scratch yours"
395,"frozenset({'out', 'sight', 'mind'})","out of sight, out of mind"
396,"frozenset({'work', 'many', 'hands', 'light', 'make'})",many hands make light work
397,"frozenset({'fruit', 'always', 'sweetest', 'forbidden'})",forbidden fruit is always the sweetest
398,"frozenset({'rub', 'wrong', 'way'})",rub the wrong way
399,"frozenset({'piper', 'pay'})",pay the piper
400,"frozenset({'cross', 'hairs'})",in the cross hairs
401,"frozenset({'like', 'horse', 'eat'})",eat like a horse
402,"frozenset({'off', 'touch'})",touch off
403,"frozenset({'trip', 'sun'})",a trip to the sun
404,"frozenset({'not', 'sharpest', 'shed', 'tool'})",not the sharpest tool in the shed
405,"frozenset({'s', 'do', 'thing', 'i', 'last', 'if'})",if it's the last thing I do
406,"frozenset({'father', 'like', 'son'})",like father like son
407,"frozenset({'like', 'sieve', 'memory'})",memory like a sieve
408,"frozenset({'bang', 'wall', 'head', 'against'})",bang head against wall
409,"frozenset({'shoulders', 'above', 'and', 'head'})",head and shoulders above
410,"frozenset({'justice', 'do'})",do justice to
411,"frozenset({'t', 'without', 'eggs', 'breaking', 'make', 'omelette', 'few', 'can'})",you can't make an omelette without breaking a few eggs
412,"frozenset({'want', 'i', 'last', 'thing'})",the last thing I want
413,"frozenset({'while', 'strike', 'hot', 'iron'})",strike while the iron is hot
414,"frozenset({'policy', 'honesty', 'best'})",honesty is the best policy
415,"frozenset({'above', 'cut'})",a cut above
416,frozenset({'love'}),being in love
417,frozenset({'outbreak'}),outbreak
418,frozenset({'breakout'}),breakout
419,"frozenset({'cold', 'hearted'})",cold hearted
420,"frozenset({'status', 'quo'})",status quo
421,"frozenset({'romans', 'do', 'as', 'rome', 'when'})","when in Rome, do as the Romans"
422,"frozenset({'sword', 'than', 'pen', 'mightier'})",the pen is mightier than the sword
423,"frozenset({'grease', 'gets', 'wheel', 'squeaky'})",the squeaky wheel gets the grease
424,"frozenset({'gets', 'tough', 'get', 'when', 'going'})","when the going gets tough, the tough get going"
425,"frozenset({'cover', 'run'})",run for cover
426,frozenset({'follow'}),follow by
427,"frozenset({'fortune', 'favours', 'bold'})",fortune favours the bold
428,"frozenset({'spoil', 'many', 'cooks', 'too', 'broth'})",too many cooks spoil the broth
429,"frozenset({'worst', 'prepare', 'hope', 'best', 'but'})","hope for the best, but prepare for the worst"
430,"frozenset({'feather', 'flock', 'together', 'birds'})",birds of a feather flock together
431,"frozenset({'free', 'such', 'no', 'thing', 'there', 's', 'lunch', 'as'})",there's no such thing as a free lunch
432,"frozenset({'s', 'no', 'like', 'there', 'place', 'home'})",there's no place like home
433,"frozenset({'part', 'valour', 'discretion', 'greater'})",discretion is the greater part of valour
434,"frozenset({'bird', 'early', 'catches', 'worm'})",the early bird catches the worm
435,"frozenset({'never', 'gift', 'horse', 'look', 'mouth'})",never look a gift horse in the mouth
436,"frozenset({'who', 'god', 'help', 'helps', 'themselves'})",God helps those who help themselves
437,"frozenset({'never', 'watched', 'boils', 'pot'})",a watched pot never boils
438,"frozenset({'can', 'beggars', 't', 'choosers'})",beggars can't be choosers
439,"frozenset({'things', 'come', 'end', 'must', 'all', 'good'})",all good things must come to an end
440,"frozenset({'s', 'present', 'time', 'no', 'like', 'there'})",there's no time like the present
441,"frozenset({'heads', 'better', 'two', 'one', 'than'})",two heads are better than one
442,"frozenset({'greener', 'grass', 'always', 'side', 'other'})",grass is always greener on the other side
443,"frozenset({'enemies', 'close', 'friends', 'keep', 'and', 'closer'})",keep your friends close and your enemies closer
444,"frozenset({'turning', 'point'})",turning point
445,"frozenset({'household', 'name'})",household name
446,frozenset({'has'}),has-been
447,"frozenset({'sand', 'line'})",line in the sand
448,"frozenset({'means', 'end'})",means to an end
449,"frozenset({'cheese', 'chalk', 'different', 'as', 'and'})",as different as chalk and cheese
450,"frozenset({'shades', 'grey'})",shades of grey
452,"frozenset({'touch', 'finishing'})",finishing touch
453,"frozenset({'treasure', 'trove'})",treasure trove
454,"frozenset({'time', 'high'})",high time
455,"frozenset({'out', 'heart', 'goes'})",heart goes out to
456,"frozenset({'smoke', 'blowing'})",blowing smoke
457,"frozenset({'burnt', 'child', 'dreads', 'fire'})",a burnt child dreads the fire
458,"frozenset({'soon', 'speak', 'too'})",speak too soon
459,"frozenset({'crazy', 'drive'})",drive crazy
460,"frozenset({'full', 'beans'})",full of beans
461,"frozenset({'after', 'go'})",go after
462,"frozenset({'away', 'pass'})",pass away
463,"frozenset({'up', 'high'})",high up
464,"frozenset({'business', 'none'})",none of your business
465,"frozenset({'time', 'same'})",at the same time
466,"frozenset({'what', 'up'})",what are you up to
467,frozenset({'hang'}),hang on
468,"frozenset({'break', 'open'})",break open
469,"frozenset({'up', 'speak'})",speak up
470,"frozenset({'start', 'head'})",head start
471,"frozenset({'day', 'slow'})",slow day
472,frozenset({'carry'}),carry on
473,"frozenset({'day', 'long', 'all'})",all day long
474,"frozenset({'stock', 'take'})",take stock
475,"frozenset({'stay', 'up'})",stay up
476,"frozenset({'page', 'turner'})",page-turner
477,"frozenset({'pillar', 'from', 'post'})",from pillar to post
478,"frozenset({'laughter', 'best', 'medicine'})",laughter is the best medicine
479,"frozenset({'tingling', 'spine'})",spine-tingling
480,"frozenset({'jerking', 'tear'})",tear-jerking
481,"frozenset({'blow', 'trumpet'})",blow your own trumpet
482,"frozenset({'keep', 'hair'})",keep your hair on
484,"frozenset({'s', 'crumbles', 'way', 'cookie'})",that's the way the cookie crumbles
485,"frozenset({'break', 'mould'})",break the mould
486,"frozenset({'button', 'lip'})",button your lip
487,"frozenset({'against', 'back', 'wall'})",back against the wall
488,"frozenset({'appetit', 'bon'})",bon appetit
490,"frozenset({'beck', 'and', 'call'})",beck and call
491,"frozenset({'headless', 'chicken', 'like', 'around', 'running'})",running around like a headless chicken
492,"frozenset({'shed', 'light'})",shed light
493,"frozenset({'chill', 'marrow'})",chill to the marrow
494,"frozenset({'fetched', 'far'})",far-fetched
495,"frozenset({'plate', 'lot'})",a lot on my plate
496,"frozenset({'polisher', 'apple'})",apple polisher
497,"frozenset({'lipped', 'tight'})",tight-lipped
498,"frozenset({'oven', 'bun'})",bun in the oven
499,"frozenset({'eggshell', 'walk'})",walk on eggshell
500,frozenset({'pickle'}),in a pickle
501,frozenset({'head'}),head-on
502,"frozenset({'from', 'now'})",from now on
503,"frozenset({'cat', 'tongue', 'got'})",cat got your tongue
