idiom,meaning,example,source,dupl,idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,tag_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
hold on a second,wait a moment; pause before continuing.,"This is particularly true , and actually is what I 'm leading to in this story is that three years later , when Robert Priest hit Esquire two years later , the Rolling Stone look was supplanted by the Esquire look in terms of popular design and imagination , and I remember people said to me ‘ well Roger what are you going to do , your style is out of date ’ and my reaction to this was ‘ well , hold on a second , it 's not my style for one , and number two this is just traditional style , this was never intended to be a trend ’ , and fortunately it 's sort of gone — right now it 's back — so Rolling Stone even picked up the format that , you know , the Morris–Jenson typeface that we did for headline and stuff , and it 's back in there .",EPIE,0,"frozenset({'second', 'hold'})",hold on a second,wait a moment; pause before continuing.,"This is particularly true , and actually is what I 'm leading to in this story is that three years later , when Robert Priest hit Esquire two years later , the Rolling Stone look was supplanted by the Esquire look in terms of popular design and imagination , and I remember people said to me ‘ well Roger what are you going to do , your style is out of date ’ and my reaction to this was ‘ well , hold on a second , it 's not my style for one , and number two this is just traditional style , this was never intended to be a trend ’ , and fortunately it 's sort of gone — right now it 's back — so Rolling Stone even picked up the format that , you know , the Morris–Jenson typeface that we did for headline and stuff , and it 's back in there .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
in limbo,in a state of uncertainty or delay with no resolution in sight.,"There is a partial line on the map which I think this Council agreed before my time but that is not a line which could be implemented because it starts from nowhere and goes to nowhere and we are still I believe in , in , in limbo so far as the exact route which might be proposed either the northern or the southern end .",EPIE,0,frozenset({'limbo'}),in limbo,in a state of uncertainty or delay with no resolution in sight.,"There is a partial line on the map which I think this Council agreed before my time but that is not a line which could be implemented because it starts from nowhere and goes to nowhere and we are still I believe in , in , in limbo so far as the exact route which might be proposed either the northern or the southern end .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O,,,,,
in name only,having a title or position but no real authority or power.,"This too was the strongest argument offered in favour of one Sandy Forbes , who hoped for the office of surgeon 's mate of the Sutherland Fencibles in 1779 , though in his case he clearly intended to be an officer in name only for he intended to apply for leave to complete his degree at Edinburgh University and to sail for India as an officer of an East Indiaman at the first suitable opportunity .",EPIE,0,"frozenset({'onli', 'name'})",in name only,having a title or position but no real authority or power.,"This too was the strongest argument offered in favour of one Sandy Forbes , who hoped for the office of surgeon 's mate of the Sutherland Fencibles in 1779 , though in his case he clearly intended to be an officer in name only for he intended to apply for leave to complete his degree at Edinburgh University and to sail for India as an officer of an East Indiaman at the first suitable opportunity .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
keep [pron] cool,remain calm and composed in a difficult situation.,"In 1924 , with the slogan "" Keep Cool with Coolidge "" , he easily retained the presidency for the Republicans , carrying 35 states to the Democrats ' 12 ; 15 million Americans voted for him , while 8 million voted for the Democrat candidate and nearly 5 million for Robert La Follette , a Progressive "" third party "" candidate .",EPIE,0,"frozenset({'cool', 'keep'})",keep [pron] cool,remain calm and composed in a difficult situation.,"In 1924 , with the slogan "" Keep Cool with Coolidge "" , he easily retained the presidency for the Republicans , carrying 35 states to the Democrats ' 12 ; 15 million Americans voted for him , while 8 million voted for the Democrat candidate and nearly 5 million for Robert La Follette , a Progressive "" third party "" candidate .",O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
jump in at [pron] deep end,to take on a difficult task without any prior experience or preparation.,"And as Cram prepared to jump in at the deep end with a clash against Olympic 10,000m champion Khalid Skah in the BUPA International Festival of Running , race organiser Brendan Foster tipped his pal to rekindle memories of his glory days in his new event .",EPIE,0,"frozenset({'deep', 'end', 'jump'})",jump in at [pron] deep end,to take on a difficult task without any prior experience or preparation.,"And as Cram prepared to jump in at the deep end with a clash against Olympic 10,000m champion Khalid Skah in the BUPA International Festival of Running , race organiser Brendan Foster tipped his pal to rekindle memories of his glory days in his new event .",O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
itchy feet,a strong desire to travel or explore new places.,"And I sort of started to get itchy feet to come back and do things in the early eighties and that 's when I went to Liverpool , I did a play with , I did Alfie with Alan who just directed the Commitments and er we went to a b and that really got me fired up to start again , and I sort of did some theatre stuff through the bits and pieces through the eighties until Love Hurts came .",EPIE,0,"frozenset({'feet', 'itchi'})",itchy feet,a strong desire to travel or explore new places.,"And I sort of started to get itchy feet to come back and do things in the early eighties and that 's when I went to Liverpool , I did a play with , I did Alfie with Alan who just directed the Commitments and er we went to a b and that really got me fired up to start again , and I sort of did some theatre stuff through the bits and pieces through the eighties until Love Hurts came .",O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
inside job,a crime or other misdeed committed by someone within an organization or group.,"The police suspected that it was an inside job and promptly arrested the dismissed worker , for no reason other than that she might have borne a grudge against her erstwhile employer .",EPIE,0,"frozenset({'insid', 'job'})",inside job,a crime or other misdeed committed by someone within an organization or group.,"The police suspected that it was an inside job and promptly arrested the dismissed worker , for no reason other than that she might have borne a grudge against her erstwhile employer .",O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
in the zone,a state of intense focus and concentration on a task.,"These included recognition and respect for the zone of peace , freedom and neutrality by all states , in particular the Great Powers ; abstention by the ASEAN states from participation in conflicts between the Great Powers ; guarantees for the zone from the Great Powers — the United States , the USSR and China ; securing the legal rights of Great Powers in the region ; and observance of the obligation of the peaceful settlement of all disputed questions between the states participating in the zone .",EPIE,0,frozenset({'zone'}),in the zone,a state of intense focus and concentration on a task.,"These included recognition and respect for the zone of peace , freedom and neutrality by all states , in particular the Great Powers ; abstention by the ASEAN states from participation in conflicts between the Great Powers ; guarantees for the zone from the Great Powers — the United States , the USSR and China ; securing the legal rights of Great Powers in the region ; and observance of the obligation of the peaceful settlement of all disputed questions between the states participating in the zone .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O,,,,,
in the wake of,"as a result of, following.","Never leaving us to feel that he has short-changed us , each observation complete in itself , as if it has been roundly considered before utterance , he manages to accommodate the following items of interest in that eighteen hundred words : a comparison between Hebridean manners of burial and Roman funeral rites ; the weather ( repeatedly ) ; the literacy of the Hebrideans ; how travellers are accommodated , there being no hotel system ; diet — wild-fowl , fish , venison , beef , mutton , goat , poultry , bread ; whisky for breakfast ( the morning dram , known as a ‘ skalk ’ ) ; the availability of tea , coffee , marmalade and other preserves , honey and cheese ; trading practices — wine from the French in exchange for wool ; culinary variety , short on vegetables other than potatoes , not good on custards ; napery , crockery and cutlery ; the abating fervour of the clans in the wake of Culloden ; and he believed he saw the slow rise of prosperity under the ‘ unpleasing consequences of subjection , .",EPIE,0,frozenset({'wake'}),in the wake of,"as a result of, following.","Never leaving us to feel that he has short-changed us , each observation complete in itself , as if it has been roundly considered before utterance , he manages to accommodate the following items of interest in that eighteen hundred words : a comparison between Hebridean manners of burial and Roman funeral rites ; the weather ( repeatedly ) ; the literacy of the Hebrideans ; how travellers are accommodated , there being no hotel system ; diet — wild-fowl , fish , venison , beef , mutton , goat , poultry , bread ; whisky for breakfast ( the morning dram , known as a ‘ skalk ’ ) ; the availability of tea , coffee , marmalade and other preserves , honey and cheese ; trading practices — wine from the French in exchange for wool ; culinary variety , short on vegetables other than potatoes , not good on custards ; napery , crockery and cutlery ; the abating fervour of the clans in the wake of Culloden ; and he believed he saw the slow rise of prosperity under the ‘ unpleasing consequences of subjection , .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O,,,,,
in the same boat,in the same situation or predicament.,"These strategies were exemplified in statements on the part of respondents such as ‘ count your blessings ’ , or ‘ we 're all in the same boat ’ , and in methods such as perceiving hardship as the forerunner of an easier future , or devaluing the importance of aspects which are noxious ( such as an unpleasant boss and colleagues ) and magnifying good aspects ( such as the convenient location and reasonable pay of the job ) .",EPIE,0,"frozenset({'same', 'boat'})",in the same boat,in the same situation or predicament.,"These strategies were exemplified in statements on the part of respondents such as ‘ count your blessings ’ , or ‘ we 're all in the same boat ’ , and in methods such as perceiving hardship as the forerunner of an easier future , or devaluing the importance of aspects which are noxious ( such as an unpleasant boss and colleagues ) and magnifying good aspects ( such as the convenient location and reasonable pay of the job ) .",O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
in the nick of time,just in time; at the last possible moment.,"For the world , he will play the Hermit of Croisset ; for his friends in Paris , he will play the Idiot of the Salons ; for George Sand he will play the Reverend Father Cruchard , a fashionable Jesuit who enjoys hearing the confessions of society women ; for his intimate circle he will play Saint Polycarpe , that obscure Bishop of Smyrna , martyred in the nick of time at the age of ninety-five , who pre-echoed Flaubert by stopping up his ears and crying out , ‘ Oh Lord !",EPIE,0,"frozenset({'nick', 'time'})",in the nick of time,just in time; at the last possible moment.,"For the world , he will play the Hermit of Croisset ; for his friends in Paris , he will play the Idiot of the Salons ; for George Sand he will play the Reverend Father Cruchard , a fashionable Jesuit who enjoys hearing the confessions of society women ; for his intimate circle he will play Saint Polycarpe , that obscure Bishop of Smyrna , martyred in the nick of time at the age of ninety-five , who pre-echoed Flaubert by stopping up his ears and crying out , ‘ Oh Lord !",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O,,,,,
in the family way,pregnant.,"Esther Dyson had consistently denied being pregnant , but two days prior to the discovery of the child , she had appeared very big in the family way , then the next morning , Mrs. Greaves noticed that Esther Dyson was pale , languid , weak and thinner , as if she had delivered a child .",EPIE,0,"frozenset({'famili', 'way'})",in the family way,pregnant.,"Esther Dyson had consistently denied being pregnant , but two days prior to the discovery of the child , she had appeared very big in the family way , then the next morning , Mrs. Greaves noticed that Esther Dyson was pale , languid , weak and thinner , as if she had delivered a child .",O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
in the eyes of the law,according to the legal system.,"Now in the eyes of the law , they have committed a crime , but if you put that situation before a jury , and even though the judge may instruct the jury , a crime has been committed , you must find them guilty , the jury 's inclination will probably be to say , natural justice , you , that you you done what was required of you , that you do not deserve to be either convicted or sent to prison for it .",EPIE,0,"frozenset({'law', 'eye'})",in the eyes of the law,according to the legal system.,"Now in the eyes of the law , they have committed a crime , but if you put that situation before a jury , and even though the judge may instruct the jury , a crime has been committed , you must find them guilty , the jury 's inclination will probably be to say , natural justice , you , that you you done what was required of you , that you do not deserve to be either convicted or sent to prison for it .",O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
in the dock,"in a court of law, accused of a crime and awaiting judgement.","Now the boatmen they used to erm the name , the family of a name of , and the old man , the grandfather his name was and then they had three sons who were boatmen , one was called Arthur John , one had a nickname of Snowball , the other one 's name was George and they used to er , some of them at times used to row from the lock gates out to the Cork Lightship together to get a boat , so they made sure of roping that boat in at , at er in the dock or at Cliff Quay and course they used to get the captain of the ship to sign er a bill and they used to take that to the , to the shipping agent and then he 'd pay 'em the money .",EPIE,0,frozenset({'dock'}),in the dock,"in a court of law, accused of a crime and awaiting judgement.","Now the boatmen they used to erm the name , the family of a name of , and the old man , the grandfather his name was and then they had three sons who were boatmen , one was called Arthur John , one had a nickname of Snowball , the other one 's name was George and they used to er , some of them at times used to row from the lock gates out to the Cork Lightship together to get a boat , so they made sure of roping that boat in at , at er in the dock or at Cliff Quay and course they used to get the captain of the ship to sign er a bill and they used to take that to the , to the shipping agent and then he 'd pay 'em the money .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
in the cold light of day,when looking at a situation objectively and without emotion.,"understand why all the agencies involved identify four in those circumstances I think in R A Southern Water district to themselves , because we have got that information repeated across the county erm and it seemed to me important that erm somebody er accepted responsibility for taking an overall view of the circumstances to er merely because of course we can only concern ourselves with manmade er circumstances rather than er erm but I think you know members would agree that as a strategic planning authority , we appear to be the only auth er the only body which can erm in the cold light of day we view the circumstances look at the implications for strategic planning and local planning and the suggestion of those developments and obviously that would be a concern to us and er I felt and I have to that it is an area of responsibility erm which er within the of this",EPIE,0,"frozenset({'light', 'cold', 'day'})",in the cold light of day,when looking at a situation objectively and without emotion.,"understand why all the agencies involved identify four in those circumstances I think in R A Southern Water district to themselves , because we have got that information repeated across the county erm and it seemed to me important that erm somebody er accepted responsibility for taking an overall view of the circumstances to er merely because of course we can only concern ourselves with manmade er circumstances rather than er erm but I think you know members would agree that as a strategic planning authority , we appear to be the only auth er the only body which can erm in the cold light of day we view the circumstances look at the implications for strategic planning and local planning and the suggestion of those developments and obviously that would be a concern to us and er I felt and I have to that it is an area of responsibility erm which er within the of this",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
in the best of health,in excellent physical and mental health.,"Having seen him safely in hospital , though not in the best of health myself , I called at the poll tax office and waited one and a half hours in a very smoky atmosphere to have the summons withdrawn .",EPIE,0,"frozenset({'best', 'health'})",in the best of health,in excellent physical and mental health.,"Having seen him safely in hospital , though not in the best of health myself , I called at the poll tax office and waited one and a half hours in a very smoky atmosphere to have the summons withdrawn .",O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
have friends in high places,have influential connections with people in positions of power.,"HOW COMFORTING TO KNOW THAT WHEN ONE IS FINDING CITY LIFE A TRIFLE TIRESOME , ONE HAS FRIENDS IN HIGH PLACES GRACIOUS ENOUGH TO INVITE ONE OUT FOR A DAY IN THE COUNTRY …",EPIE,0,"frozenset({'have', 'place', 'friend', 'high'})",have friends in high places,have influential connections with people in positions of power.,"HOW COMFORTING TO KNOW THAT WHEN ONE IS FINDING CITY LIFE A TRIFLE TIRESOME , ONE HAS FRIENDS IN HIGH PLACES GRACIOUS ENOUGH TO INVITE ONE OUT FOR A DAY IN THE COUNTRY …",O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O,,,,,
have big ears,"to be a good listener, to pay attention to what is being said.","allusion to the saying ‘ Little pitchers have big ears ’ , meaning that children have very sharp hearing .",EPIE,0,"frozenset({'big', 'have', 'ear'})",have big ears,"to be a good listener, to pay attention to what is being said.","allusion to the saying ‘ Little pitchers have big ears ’ , meaning that children have very sharp hearing .",O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O,,,,,
have [pron] whale of [pron] time,have a great time.,"But by then various other children were misbehaving too , so I sent them out , and suddenly I realized that half of my class was outside the door having a whale of a time !",EPIE,0,"frozenset({'whale', 'have', 'time'})",have [pron] whale of [pron] time,have a great time.,"But by then various other children were misbehaving too , so I sent them out , and suddenly I realized that half of my class was outside the door having a whale of a time !",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O,,,,,
get out of hand,become chaotic or uncontrollable.,"The mania for forming industry consortia is getting so out of hand that a group of leading manufacturers , software developers and vendors are coming together to make some sense of it and eliminate duplicated effort by creating a single consortium to which everyone will be invited to belong : there is no confirmation of suggestions that the idea was the first initiative from new IBM Corp chief Louis Gerstner , who accedes to the top job today , but we hear that the army of companies is still bogged down arguing about what to call the thing — the best they have dreamed up so far is the Consortium for Object-oriented Methods and Programming for the Unix Terminal and Enterprise-wide Recasting of Interactive Networked Database Undertakings with Software Transitioning and Revision for Y'all , but they can not find a snappy acronym to fit the words .",EPIE,0,"frozenset({'out', 'get', 'hand'})",get out of hand,become chaotic or uncontrollable.,"The mania for forming industry consortia is getting so out of hand that a group of leading manufacturers , software developers and vendors are coming together to make some sense of it and eliminate duplicated effort by creating a single consortium to which everyone will be invited to belong : there is no confirmation of suggestions that the idea was the first initiative from new IBM Corp chief Louis Gerstner , who accedes to the top job today , but we hear that the army of companies is still bogged down arguing about what to call the thing — the best they have dreamed up so far is the Consortium for Object-oriented Methods and Programming for the Unix Terminal and Enterprise-wide Recasting of Interactive Networked Database Undertakings with Software Transitioning and Revision for Y'all , but they can not find a snappy acronym to fit the words .",O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
