idiom,meaning,example,source,dupl,tag,idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
the eleventh hour,at the very last minute before an event,"Just minutes before the deadline, he definitely submitted his assignment at the eleventh hour.",dictionary,1,,"frozenset({'eleventh', 'hour'})",,,,the eleventh hour,at the very last minute before an event,"Just minutes before the deadline, he definitely submitted his assignment at the eleventh hour.",at the eleventh hour,the last moment or almost too late
carry on,to continue with something,After the huge earthquake the children are still carrying on with their shock.,dictionary,1,,frozenset({'carri'}),,,,carry on,to continue with something,After the huge earthquake the children are still carrying on with their shock.,carry the can,"to accept blame or take responsibility for something that goes wrong, even if it is not your fault or only partly"
necessary evil,something unpleasant that must be done in order to achieve a goal or objective,Mike saw his going to work for his father as a necessary evil if he was ever to own his own company someday,dictionary,1,,"frozenset({'necessari', 'evil'})",,,,necessary evil,something unpleasant that must be done in order to achieve a goal or objective,Mike saw his going to work for his father as a necessary evil if he was ever to own his own company someday,necessary evil,to not like something but you understand that it has to exist and be accepted
clear the air,get rid of all doubts and negative feelings,"They had a huge misunderstanding, but decided to clear the air by sitting together and discussing things frankly.",dictionary,1,,"frozenset({'air', 'clear'})",,,,clear the air,get rid of all doubts and negative feelings,"They had a huge misunderstanding, but decided to clear the air by sitting together and discussing things frankly.",clear the air,"to try to remove the causes of fear, worry or suspicion by talking about the problem openly"
ants in pants,be extremely restless,The young students just can't sit still; they must have ants in their pants.,dictionary,1,,"frozenset({'ant', 'pant'})",,,,ants in pants,be extremely restless,The young students just can't sit still; they must have ants in their pants.,ants in my pants,to not be able to keep still because you are very excited or worried about something
dance to tune,to do what someone else forces you to do,In order to keep the peace Peter has to dance to his wife's tune.,dictionary,1,,"frozenset({'tune', 'danc'})",,,,dance to tune,to do what someone else forces you to do,In order to keep the peace Peter has to dance to his wife's tune.,dances to the tune,to always do what someone tells you to do
over my dead body,"in no way, under no circumstances",You will go on a date with my sister over my dead body!,dictionary,1,,"frozenset({'bodi', 'dead'})",,,,over my dead body,"in no way, under no circumstances",You will go on a date with my sister over my dead body!,over his dead body,this expression is used by someone who absolutely refuses to allow someone to do something
as the crow flies,in a straight line,The nearest hotel is about 24 kilometers away as the crow flies.,dictionary,1,,"frozenset({'crow', 'fli'})",,,,as the crow flies,in a straight line,The nearest hotel is about 24 kilometers away as the crow flies.,as the crow flies,measuring distance between two places in a straight line
sit on the fence,delay or avoid making a decision or choice,Has he decided which offer he is going to accept or is he still sitting on the fence?,dictionary,1,,"frozenset({'sit', 'fenc'})",,,,sit on the fence,delay or avoid making a decision or choice,Has he decided which offer he is going to accept or is he still sitting on the fence?,sit on the fence,to avoid taking sides in a discussion or argument
have no truck with,avoid dealing or being associated with,You should have no truck with those few in your class. They are just trying to misuse your trait of helping others.,dictionary,1,,"frozenset({'have', 'truck'})",,,,have no truck with,avoid dealing or being associated with,You should have no truck with those few in your class. They are just trying to misuse your trait of helping others.,have no truck with,when you refuse to get involved with something or someone
cry over spilt milk,to be upset about things that have already been done,"While its sad that the results have not been as good as you expected, you should now focus on moving ahead and achieving better results next time; there is no use crying over spilt milk.",dictionary,1,,"frozenset({'cri', 'milk', 'spilt'})",,,,cry over spilt milk,to be upset about things that have already been done,"While its sad that the results have not been as good as you expected, you should now focus on moving ahead and achieving better results next time; there is no use crying over spilt milk.",don't cry over spilt milk,when something bad happens and nothing can be done to help it
in the good books,be in somebody's favour or good opinion,"He always managed to be in the good books of the bosses, surprised one and all.",dictionary,1,,"frozenset({'book', 'good'})",,,,in the good books,be in somebody's favour or good opinion,"He always managed to be in the good books of the bosses, surprised one and all.",in the good books,to have someone's approval
under a cloud,under suspicion,The luxury transport industry is under a cloud at the moment after newspapers revealed that many indulged in illegal activities.,dictionary,1,,"frozenset({'cloud', 'under'})",,,,under a cloud,under suspicion,The luxury transport industry is under a cloud at the moment after newspapers revealed that many indulged in illegal activities.,under a cloud,when someone is suspected of having done something wrong
on the crest of a wave,to reach the highest point of success,"The music band comprising engineering students is currently on the crest of a wave, with a launch of new album it has planned for next year.",dictionary,1,,"frozenset({'crest', 'wave'})",,,,on the crest of a wave,to reach the highest point of success,"The music band comprising engineering students is currently on the crest of a wave, with a launch of new album it has planned for next year.",crest of the wave,to be very successful in what you are doing
can of worms,"to get into something that is messy, has problems and is unwanted",The can of worms was wide open when he asked her about her past.,dictionary,1,,frozenset({'worm'}),,,,can of worms,"to get into something that is messy, has problems and is unwanted",The can of worms was wide open when he asked her about her past.,can of worms,"a situation that it is complicated, unpleasant and difficult to deal with"
let the cat out of the bag,to let a secret out in the open,The Mason's let the cat out of the bag at the end minute. Until then nobody at the party knew about the performance by such a famous film star in a regular party.,dictionary,1,,"frozenset({'out', 'cat', 'let', 'bag'})",,,,let the cat out of the bag,to let a secret out in the open,The Mason's let the cat out of the bag at the end minute. Until then nobody at the party knew about the performance by such a famous film star in a regular party.,let the cat out of the bag,to reveal a secret
in a trice,"In the moment, instantly.","I will be there in a trice, stop calling me so often.",dictionary,1,,frozenset({'trice'}),in a trice,very quickly.,"Indeed , let that be your percept : the hot blood gushes forth , yet instantly the Marine is firm as stone in his intellectus — aye , and spry as quicksilver which can flood through a maze of branching routes in a trice , illuminating all possibilities ! ’",in a trice,"In the moment, instantly.","I will be there in a trice, stop calling me so often.",,
in a nutshell,to be brief and straight to the point.,"In a nutshell, all the new mayor was saying is that the fight against crime will be taken much more seriously.",dictionary,1,,frozenset({'nutshel'}),in a nutshell,in a few words; concisely.,I mean suddenly we had the example of a women 's support group from the miner 's strike th that we had the idea you know fr from that erm and Yona really put it in a nutshell when she said I think er er you know behind closed doors the women worrying about what was going to happen next you know they felt very frustrated and in a way it was a way to channel o our energies away i i i it was seen as that really in the beginning you know as a a sort of a more as a way of getting rid of the well y you know the sort of desperation er the impotence one felt of not being able to do anything in this situation and it 's er and by now of course we have all become as a group very close er you know we 're we 're more like a big family now really an sort of er a lot of the women have never really sort of regularly been to meetings an th the commitment there is very strong really that we all turn up to our Tuesday meetings sort of .,in a nutshell,to be brief and straight to the point.,"In a nutshell, all the new mayor was saying is that the fight against crime will be taken much more seriously.",,
in a fog,in a great confusion,Jane always seems to be in a fog.,dictionary,1,,frozenset({'fog'}),in a fog,confused and unable to think clearly.,"The phenomenon of light scattering by small particles is familiar to us all ; the blue colour of the sky or the varied colours of a sunset , the poor penetration of car headlights in a fog is caused by water droplets scattering the light , and the obvious presence of dust in a sunbeam or the Tyndall effect in an irradiated colloidal solution are further examples of this effect .",in a fog,in a great confusion,Jane always seems to be in a fog.,,
ignorance is bliss,to not get affected by something that is not known,The farmers were using these pesticides in their fields without even considering the harmful effects it has on the land. Ignorance is bliss.,dictionary,1,,"frozenset({'ignor', 'bliss'})",ignorance is bliss,not knowing something can be more comfortable than knowing it.,"Consequently , some doctors believe that ‘ ignorance is bliss ’ — if medical knowledge were more widespread , there would be more cases of Munchausen 's and Munchausen-by-proxy .",ignorance is bliss,to not get affected by something that is not known,The farmers were using these pesticides in their fields without even considering the harmful effects it has on the land. Ignorance is bliss.,,
icing on the cake,when something good is added to another good thing that you already have,Everyone expected him to do well in the exams. Getting first rank was the icing on the cake.,dictionary,1,,"frozenset({'ice', 'cake'})",icing on the cake,something extra that makes a situation even better than it already is.,"But those same absent attributes , I would argue , are every time those of a superficial and decorative order , attributes that are attractive , no doubt , as icing on the cake , but are not pertaining to what is really essential .",icing on the cake,when something good is added to another good thing that you already have,Everyone expected him to do well in the exams. Getting first rank was the icing on the cake.,,
how come,why or how,How come you are not going to the party?,dictionary,1,,frozenset({'come'}),how come,a question asking for an explanation or reason.,"I went to change me poll tax and er I says to her , I says , I should be court to Monday oh she says you have got a fifteen pound court thing , I says aye , she says oh well that 's fifteen pound , I says it 's not cos I 'm not paying it I says I 'm not paying the fifteen pound to the court , I says , I says how come last year I did not pay right round to February last year I said and yet I , your last payment 's next month , you know , she said oh well they 're stricter this year she says , she , if you 'd pay the half year you 'd of been alright",how come,why or how,How come you are not going to the party?,,
hot potato,any subject which several folks are talking about and which is frequently argued,The issue of gun control is a political hot potato in the United States.,dictionary,1,,"frozenset({'potato', 'hot'})",hot potato,a situation or issue that is difficult to handle and is quickly passed from one person to another.,"The issue of ‘ reprivatisation ’ , as it is quaintly termed , is also politically sensitive , and the Polish Sejm has been throwing it back and forth across the Chamber like a hot potato .",hot potato,any subject which several folks are talking about and which is frequently argued,The issue of gun control is a political hot potato in the United States.,,
hold your horses,to wait,"Hold your horses! We have not won yet, so don't start celebrating.",dictionary,1,,"frozenset({'hors', 'hold'})",hold your horses,wait a moment; be patient.,"But if you 're prepared to hold your horses a little until that final fence , I have a feeling that you may well end up ahead of the rest of the field [ JH ]",hold your horses,to wait,"Hold your horses! We have not won yet, so don't start celebrating.",hold his horse,used to tell someone to stop and consider carefully their decision or opinion about something
in the cahoots,to do something in hiding or secret because it is morally or socially not acceptable,It is usually the close circle of celebrities who are in the cahoots with the paparazzi. This is how celebrity outings are caught on tape so often.,dictionary,1,,frozenset({'cahoot'}),in cahoots with,working together in secret to achieve a goal.,"A collaboration from the depths of hell looks on the cards , we can report with our fingers stuffed prematurely in our ears , as VIC REEVES and BOB MORTIMER have been spotted in cahoots with THE BEAUTIFUL SOUTH all over London recently .",in the cahoots,to do something in hiding or secret because it is morally or socially not acceptable,It is usually the close circle of celebrities who are in the cahoots with the paparazzi. This is how celebrity outings are caught on tape so often.,,
hit the sack,to go to bed,I am really tired after all that exercise. I am going to hit the sack.,dictionary,1,,"frozenset({'hit', 'sack'})",hit [pron] sack,go to bed.,"When they do , they hit the sack for marathon love-making sessions — that 's once Bill 's made the bed !",hit the sack,to go to bed,I am really tired after all that exercise. I am going to hit the sack.,,
hit the roof,experience sudden anger,Jake's parents are going to hit the roof when they see the damage he's done to their car.,dictionary,1,,"frozenset({'hit', 'roof'})",hit [pron] roof,become extremely angry.,"Henderson did get a little help from his friends , in particular a massive 484ft third-inning home run from Jose Canseco on Saturday that came within 13 rows of hitting the roof of the SkyDome but dropped instead into the hands of a surprised Toronto fan .",hit the roof,experience sudden anger,Jake's parents are going to hit the roof when they see the damage he's done to their car.,,
hit the road,depart,We'd better pack the car and hit the road before it gets dark.,dictionary,1,,"frozenset({'road', 'hit'})",hit [pron] road,leave a place quickly.,They came with a good suit on and they would go to work with a suit double breasted and then and they would work there and make a lot of money and when the next thing they would do they would hit into town and get all rigged out and then that was them from top to bottom from their hat right to their feet and then they were hitting the road then .,hit the road,depart,We'd better pack the car and hit the road before it gets dark.,,
hit the nail on the head,be accurately right about something,Stephen hit the nail on the head when he said that what the company was lacking in was clear vision and focus.,dictionary,1,,"frozenset({'hit', 'head', 'nail'})",hit [pron] nail on [pron] head,accurately identify or describe something.,"In an unusually perceptive liner note , Robert Layton hits the nail on the head when he says ‘ It is the exercise of true symphonic discipline that removes the Tenth from the private world to the universal ’ .",hit the nail on the head,be accurately right about something,Stephen hit the nail on the head when he said that what the company was lacking in was clear vision and focus.,hit the nail on the head,to describe exactly what is causing a situation or problem
head over heels,"fall deeply and completely in love, especially suddenly",Tom and Mary are head over heels in love with each other and are going to get married next month.,dictionary,1,,"frozenset({'head', 'heel'})",head over heels,completely and utterly in love with someone.,"Gripping the ski-poles I tried to keep myself steady as the velocity increased and then , all of a sudden I sailed over the edge and felt myself going head over heels towards a white mass of snow far below .",head over heels,"fall deeply and completely in love, especially suddenly",Tom and Mary are head over heels in love with each other and are going to get married next month.,,
in cold blood,in a cruel way and without pity or other emotion,One young lady was shot dead in cold blood inside the premises of the shopping complex.,dictionary,1,,"frozenset({'cold', 'blood'})",in cold blood,"in a deliberate and calculated manner, without emotion.","Few as they were , they might be sufficient , for the men in them would be seasoned seamen and raiders who would brawl for the love of it , on shipboard anywhere ; who would defend their own northern lands to the death , on land or on sea ; but who would never march south in cold blood to throw away life defending a foreigner 's ground .",in cold blood,in a cruel way and without pity or other emotion,One young lady was shot dead in cold blood inside the premises of the shopping complex.,,
Kangaroo court,It refers to a court that passes judgement but is not a valid court.,"The Kangaroo court announced two years back that the family should be banished and the people in the village followed the judgement. To this day, nobody even talks to anyone in that family.",dictionary,1,,"frozenset({'kangaroo', 'court'})",kangaroo court,a mock court in which the proceedings are biased and unjust.,"Now what will be concerning the last hard core will be that amongst them can almost certainly the people who were involved in the original planning of the er uprising or riot , and also who probably er orchestrated the Kangaroo Courts .",Kangaroo court,It refers to a court that passes judgement but is not a valid court.,"The Kangaroo court announced two years back that the family should be banished and the people in the village followed the judgement. To this day, nobody even talks to anyone in that family.",,
just what the doctor ordered,exactly what was wanted or needed,"I was so hungry, and that meal was absolutely delicious! It was just what the doctor ordered.",dictionary,1,,"frozenset({'order', 'doctor'})",just what the doctor ordered,exactly what is needed to solve a problem or make a situation better.,"Competition is so great between the two giants of the industry ( and I have not even begun to think about Unix and the Mac operating system , never mind the combined IBM/Apple OS ) that , behind the hype ( of which I predict there will be much ) there will be a rock solid operating system developed , and it will be just what the doctor ordered .",just what the doctor ordered,exactly what was wanted or needed,"I was so hungry, and that meal was absolutely delicious! It was just what the doctor ordered.",just what the doctor ordered,precisely what is needed
just in case,to do something as a precautionary measure,The cake was ordered just in case the desert that she made did not turn up well.,dictionary,1,,frozenset({'case'}),just in case,to be prepared for any eventuality.,"Relationship between trade and between members of state , strictly competition and I said I 'd be the one erm relative case , just to demonstrate the course , Lord , erm I have usefully used the time this morning to do a , a brief aden am moire of the point , the relevant photographs and the , just in case , if I can just hand that out ena enable me to , to speed through the admission , my Lord if I can just er take the through it and apart , my Lord paragraph five is triggered by an agreement which effects trade between members of states , er in windsurfing the court considered an argument that the causes and the contested agreement which had been struck down by the commission did not forward then article eighty five because they did not have that trade between members of states , the court replied , that argument must be rejected , article eighty five does not require that each and individual cause in the agreement should be capable of affecting into community trade , community law or competition applies to agreements between undertakings which may effect member of states , only if the agreement as a whole is capable of effecting trade is it necessary to exam which other clauses of the agreement which havers there object , let's just say or , or effect the restriction of competition .",just in case,to do something as a precautionary measure,The cake was ordered just in case the desert that she made did not turn up well.,,
just deserts,get what one deserves,"After the supervisor was suspended, many workers felt that he got his just deserts.",dictionary,1,,frozenset({'desert'}),just deserts,the reward or punishment that someone deserves.,"This was so whether the reformative sentence would be disproportionately long or disproportionately short , although most adherents of the Justice Model in the 1970s ( who tended to be liberal or moderately radical in political persua-sion ) wanted a just deserts system which would punish less harshly overall — again like Beccaria two centuries previously .",just deserts,get what one deserves,"After the supervisor was suspended, many workers felt that he got his just deserts.",just deserts,people that get the punishment or suffer the misfortune that they may deserve
jump to conclusions,to predict a situation without having sufficient information,Wait till we get the report; don't jump to conclusions.,dictionary,1,,"frozenset({'jump', 'conclus'})",jump to conclusions,make a decision or judgment without having all the facts.,"In 1983 , observations from the IRAS infra-red satellite showed that it is associated with cool material which might be interpreted as a planetary system , though it would be most unwise to jump to any conclusions .",jump to conclusions,to predict a situation without having sufficient information,Wait till we get the report; don't jump to conclusions.,,
jump on the bandwagon,to start doing something because it is fashionable or profitable,The whole town was quick to jump on the bandwagon when people began to realize the home team would win the championship.,dictionary,1,,"frozenset({'bandwagon', 'jump'})",jump on [pron] bandwagon,"join a popular trend or opinion, usually without considering the consequences.","There have been several hospitalisations over the past few months , people who entered catatonic states after taking what they believed was E but turned out to be K. Now everybody is jumping on the Ketamine bandwagon .",jump on the bandwagon,to start doing something because it is fashionable or profitable,The whole town was quick to jump on the bandwagon when people began to realize the home team would win the championship.,,
jump the gun,"start something too soon or early, especially without thinking",The media jumped the gun and gave out their verdict of the scandal even before the investigation was complete.,dictionary,1,,"frozenset({'jump', 'gun'})",jump [pron] gun,act too quickly or prematurely.,There had been suggestions that directors had jumped the gun by putting a figure to the fraud before Coopers had completed its report .,jump the gun,"start something too soon or early, especially without thinking",The media jumped the gun and gave out their verdict of the scandal even before the investigation was complete.,,
Jack of all trades,someone who is competent at many things but does not excel at any of them,I am very glad that my husband is a Jack of all trades; it saved us a lot of money when it came to renovating our house.,dictionary,1,,"frozenset({'jack', 'trade', 'all'})",jack of all trades,someone who is competent in many different skills or activities.,"The shift towards greater delegation , role specialization and collective decision-making in primary schools , and the emergence of what we have termed departmental , three-tier and matrix management structures , appears to be an inevitable and necessary consequence of the growing complexity of the work of primary schools and the diminishing currency of the ‘ jack of all trades ’ view of the class teacher 's and head 's roles .",Jack of all trades,someone who is competent at many things but does not excel at any of them,I am very glad that my husband is a Jack of all trades; it saved us a lot of money when it came to renovating our house.,,
in the pipeline,to be underway,The project has been in the pipeline since forever. I am not sure if it will ever get completed.,dictionary,1,,frozenset({'pipelin'}),in the pipeline,in the process of being developed or completed.,"It is a worrying time for the Cupertino company , but it probably can come through more or less unscathed , simply because people buy Apple kit not for the underlying technology but for what 's on top of it , so provided a happy marriage can be arranged between the PowerPC hardware and Apple 's software , and the thing ends up looking to the user like a Macintosh that is simply faster , more powerful , more easy to use and in all ways better than the 68040-based models , Apple should be able to scrape through — and there is still a Motorola Inc 68060 in the pipeline that Apple can fall back on if everything in the IBM relationship goes awry .",in the pipeline,to be underway,The project has been in the pipeline since forever. I am not sure if it will ever get completed.,,
in the pink,in good health and spirits.,"As a famous president, he has the perfect reason to be in the pink.",dictionary,1,,frozenset({'pink'}),in the pink,in good health,"Considering that the Soviet economy is not in the pink of health in its own right , it only makes sense to ask whether the burden will remain affordable — and , indeed , whether hard economic facts will not drive the USSR to reassess the wisdom of maintaining anything so extravagant as a Socialist Commonwealth in her present circumstances .",in the pink,in good health and spirits.,"As a famous president, he has the perfect reason to be in the pink.",,
in the heat of the moment,saying or doing something without thinking due go anger or excitement,He really didn't mean what he said about you. He said it in the heat of the moment.,dictionary,1,,"frozenset({'heat', 'moment'})",in the heat of the moment,acting impulsively without considering the consequences.,"If ‘ that bloody woman ’ had heard him utter such a curse , she would have ripped into him with a piece of her mind , then he would have whipped her with his tongue , then this sop of a man before him would have got between them , and afore you knew it , there would be a full-scale war waging — and in the heat of the moment he might foolishly betray his devious plans to boot the lot of them out of his house and out of his life .",in the heat of the moment,saying or doing something without thinking due go anger or excitement,He really didn't mean what he said about you. He said it in the heat of the moment.,,
in the blink of an eye,in an instant,"In the blink of an eye, the robber disappeared from the bank with a bag full of cash.",dictionary,1,,"frozenset({'blink', 'eye'})",in the blink of an eye,"very quickly, almost instantaneously.","One moment Angel One had been crouched motionless as a carved statue , the next he seemed to have been transposed several feet nearer in the blink of an eye , like a faulty sequence in some badly cut movie .",in the blink of an eye,in an instant,"In the blink of an eye, the robber disappeared from the bank with a bag full of cash.",,
in the bag,have something as good as secured or certain,The deal was finally in the bag after a few rounds of tough negotiations.,dictionary,1,,frozenset({'bag'}),in the bag,a situation that is certain to be successful.,"We have the club slides in our house so that you know really whoever takes over organizing the meeting should really have those and they 're all sorted out in order so it 's just a case of diving in the bag and looking for whatever you want , ever the I always try to bring some fish to look at , to the the scr to the screen erm some of the fish that were on show on the table for that particular sh er in erm table show because I think it shows interest and to learn more about the fish and it 's always nice when somebody else knows a lot more about the particular species than you do , and i is able to tell you quirks and fancies that they have .",in the bag,have something as good as secured or certain,The deal was finally in the bag after a few rounds of tough negotiations.,,
have eyes only for,be attracted to someone exclusively,"Jane was a very popular girl in her college and was surrounded by admirers, but she had eyes only for Steve.",dictionary,1,,"frozenset({'have', 'eye', 'onli'})",have eyes only for,only have romantic feelings for one person.,"The action takes place in tough Dodge City , Kansas during the 1880s , and centres on the lives and experiences of five people : Matt Dillon , the dauntless and fearless United States Marshal ; Kitty Russell , proprietress of the Longbranch Saloon , a woman with a heart of gold who has eyes only for Dillon ; Chester Goode , Matt 's deputy ; Doc Galen Adams , the kindly , dedicated physician ; and Festus Haggen , Matt 's unkempt , hillbilly deputy .",have eyes only for,be attracted to someone exclusively,"Jane was a very popular girl in her college and was surrounded by admirers, but she had eyes only for Steve.",,
