idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff
red herring,something irrelevant that distracts you from something important,It was a red herring that distracted us from our goal,0,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 18.134, 'AssignmentId': '3483FV8BEUZIZR2JRRS7DM68XMA62M', 'HITId': '3HXK2V1N5ZVH90TVC2WS0TN7DCYG26', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 151.08, 'AssignmentId': '3OS4RQUCRPV86XVQBDOM8LMPKRQBFW', 'HITId': '3HXK2V1N5ZVH90TVC2WS0TN7DCYG26', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 27.454, 'AssignmentId': '3G0WWMR1UB07YVAWSJ4PBFQX8IDNQR', 'HITId': '3HXK2V1N5ZVH90TVC2WS0TN7DCYG26', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",0,0,0,0,False,False
walking on broken glass,when a person is punished for something,They're walking on broken glass because they refused to wear the necessary protective gear,1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 18.134, 'AssignmentId': '3483FV8BEUZIZR2JRRS7DM68XMA62M', 'HITId': '3HXK2V1N5ZVH90TVC2WS0TN7DCYG26', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': True}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 151.08, 'AssignmentId': '3OS4RQUCRPV86XVQBDOM8LMPKRQBFW', 'HITId': '3HXK2V1N5ZVH90TVC2WS0TN7DCYG26', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 27.454, 'AssignmentId': '3G0WWMR1UB07YVAWSJ4PBFQX8IDNQR', 'HITId': '3HXK2V1N5ZVH90TVC2WS0TN7DCYG26', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",1,0,2,0,True,True
cross the line,behave in a way that is not acceptable,He crossed the line when it came to showing disrespect,0,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 18.134, 'AssignmentId': '3483FV8BEUZIZR2JRRS7DM68XMA62M', 'HITId': '3HXK2V1N5ZVH90TVC2WS0TN7DCYG26', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 151.08, 'AssignmentId': '3OS4RQUCRPV86XVQBDOM8LMPKRQBFW', 'HITId': '3HXK2V1N5ZVH90TVC2WS0TN7DCYG26', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 27.454, 'AssignmentId': '3G0WWMR1UB07YVAWSJ4PBFQX8IDNQR', 'HITId': '3HXK2V1N5ZVH90TVC2WS0TN7DCYG26', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",0,0,0,0,False,False
straighten up and fly right,to get serious and stop acting absurd anymore.,He decided to straighten up and fly right,2,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 18.134, 'AssignmentId': '3483FV8BEUZIZR2JRRS7DM68XMA62M', 'HITId': '3HXK2V1N5ZVH90TVC2WS0TN7DCYG26', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 151.08, 'AssignmentId': '3OS4RQUCRPV86XVQBDOM8LMPKRQBFW', 'HITId': '3HXK2V1N5ZVH90TVC2WS0TN7DCYG26', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 27.454, 'AssignmentId': '3G0WWMR1UB07YVAWSJ4PBFQX8IDNQR', 'HITId': '3HXK2V1N5ZVH90TVC2WS0TN7DCYG26', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,2,2,2,False,False
made it,used to indicated the completion of a task,She made it,2,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 18.134, 'AssignmentId': '3483FV8BEUZIZR2JRRS7DM68XMA62M', 'HITId': '3HXK2V1N5ZVH90TVC2WS0TN7DCYG26', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 151.08, 'AssignmentId': '3OS4RQUCRPV86XVQBDOM8LMPKRQBFW', 'HITId': '3HXK2V1N5ZVH90TVC2WS0TN7DCYG26', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 27.454, 'AssignmentId': '3G0WWMR1UB07YVAWSJ4PBFQX8IDNQR', 'HITId': '3HXK2V1N5ZVH90TVC2WS0TN7DCYG26', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,2,2,2,False,False
when hell freezes over,"impolite way of saying ""it will never happen""",I will do it when hell freezes over,2,"{'WorkerId': 'A1I7H6RDJS4EKN', 'WorkTimeInSeconds': 187.356, 'AssignmentId': '3XLBSAQ9ZKSR92J0Z86D6BGBEDRZ7Z', 'HITId': '3VZYA8PIU3ECXT1XGJ9ND833Q6X50S', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 0, 'bad': False}","{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 14.557, 'AssignmentId': '3OVR4I9US5ZLCN0QAEPTC6KXH1J4QE', 'HITId': '3M47JKRKDCHQYM6EG6W7YTNL5YN68X', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 57.573, 'AssignmentId': '3LEP4MGT3WGB8DHUK7TWKLJ48EABDL', 'HITId': '3M47JKRKDCHQYM6EG6W7YTNL5YN68X', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",0,0,2,0,False,True
big brother,A large organization or government agency that tries to control all aspects of human life and society.,The big brother was watching,2,"{'WorkerId': 'A1I7H6RDJS4EKN', 'WorkTimeInSeconds': 187.356, 'AssignmentId': '3XLBSAQ9ZKSR92J0Z86D6BGBEDRZ7Z', 'HITId': '3VZYA8PIU3ECXT1XGJ9ND833Q6X50S', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 2, 'bad': False}","{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 14.557, 'AssignmentId': '3OVR4I9US5ZLCN0QAEPTC6KXH1J4QE', 'HITId': '3M47JKRKDCHQYM6EG6W7YTNL5YN68X', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 57.573, 'AssignmentId': '3LEP4MGT3WGB8DHUK7TWKLJ48EABDL', 'HITId': '3M47JKRKDCHQYM6EG6W7YTNL5YN68X', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,2,2,2,False,False
from A to Z,comprehensive,He knows it from A to Z; he is an expert,0,"{'WorkerId': 'A1I7H6RDJS4EKN', 'WorkTimeInSeconds': 187.356, 'AssignmentId': '3XLBSAQ9ZKSR92J0Z86D6BGBEDRZ7Z', 'HITId': '3VZYA8PIU3ECXT1XGJ9ND833Q6X50S', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 0, 'bad': False}","{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 14.557, 'AssignmentId': '3OVR4I9US5ZLCN0QAEPTC6KXH1J4QE', 'HITId': '3M47JKRKDCHQYM6EG6W7YTNL5YN68X', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 57.573, 'AssignmentId': '3LEP4MGT3WGB8DHUK7TWKLJ48EABDL', 'HITId': '3M47JKRKDCHQYM6EG6W7YTNL5YN68X', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",0,0,0,0,False,False
dead and buried,no longer in use.,It's dead and buried,2,"{'WorkerId': 'A1I7H6RDJS4EKN', 'WorkTimeInSeconds': 187.356, 'AssignmentId': '3XLBSAQ9ZKSR92J0Z86D6BGBEDRZ7Z', 'HITId': '3VZYA8PIU3ECXT1XGJ9ND833Q6X50S', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 2, 'bad': False}","{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 14.557, 'AssignmentId': '3OVR4I9US5ZLCN0QAEPTC6KXH1J4QE', 'HITId': '3M47JKRKDCHQYM6EG6W7YTNL5YN68X', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 57.573, 'AssignmentId': '3LEP4MGT3WGB8DHUK7TWKLJ48EABDL', 'HITId': '3M47JKRKDCHQYM6EG6W7YTNL5YN68X', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,2,2,2,False,False
down to earth,"decent, simple, realistic",He is down to earth because he jumped off the top of the building,1,"{'WorkerId': 'A1I7H6RDJS4EKN', 'WorkTimeInSeconds': 187.356, 'AssignmentId': '3XLBSAQ9ZKSR92J0Z86D6BGBEDRZ7Z', 'HITId': '3VZYA8PIU3ECXT1XGJ9ND833Q6X50S', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 1, 'bad': False}","{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 14.557, 'AssignmentId': '3OVR4I9US5ZLCN0QAEPTC6KXH1J4QE', 'HITId': '3M47JKRKDCHQYM6EG6W7YTNL5YN68X', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 57.573, 'AssignmentId': '3LEP4MGT3WGB8DHUK7TWKLJ48EABDL', 'HITId': '3M47JKRKDCHQYM6EG6W7YTNL5YN68X', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",1,1,1,1,False,False
treasure trove,a priceless or valuable discovery,The shed was a treasure trove of memories from long ago,0,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 39.264, 'AssignmentId': '3R6P78PK70REGJL2MJLPQ0SNRDQGTQ', 'HITId': '31MCUE39CZ26UIPEG2AXJ3SZJQYG3H', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 70.814, 'AssignmentId': '3ZSANO2JCVN7NJCSMZAHYAWPOFCFS1', 'HITId': '31MCUE39CZ26UIPEG2AXJ3SZJQYG3H', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A3RR85PK3AV9TU', 'WorkTimeInSeconds': 56.091, 'AssignmentId': '3MD9PLUKKYUGCNBNFFN22821DLYZNX', 'HITId': '31MCUE39CZ26UIPEG2AXJ3SZJQYG3H', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",0,0,0,0,False,False
cover one's tracks,"to keep one's location, activities, and intentions hidden.",He covered his tracks,2,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 39.264, 'AssignmentId': '3R6P78PK70REGJL2MJLPQ0SNRDQGTQ', 'HITId': '31MCUE39CZ26UIPEG2AXJ3SZJQYG3H', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 70.814, 'AssignmentId': '3ZSANO2JCVN7NJCSMZAHYAWPOFCFS1', 'HITId': '31MCUE39CZ26UIPEG2AXJ3SZJQYG3H', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A3RR85PK3AV9TU', 'WorkTimeInSeconds': 56.091, 'AssignmentId': '3MD9PLUKKYUGCNBNFFN22821DLYZNX', 'HITId': '31MCUE39CZ26UIPEG2AXJ3SZJQYG3H', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,2,2,2,False,False
"when it rains, it pours",to have a good or bad news enlarged by circumstances,"When it rains, it pours and so many bad things are happening to me right now",0,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 39.264, 'AssignmentId': '3R6P78PK70REGJL2MJLPQ0SNRDQGTQ', 'HITId': '31MCUE39CZ26UIPEG2AXJ3SZJQYG3H', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 70.814, 'AssignmentId': '3ZSANO2JCVN7NJCSMZAHYAWPOFCFS1', 'HITId': '31MCUE39CZ26UIPEG2AXJ3SZJQYG3H', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A3RR85PK3AV9TU', 'WorkTimeInSeconds': 56.091, 'AssignmentId': '3MD9PLUKKYUGCNBNFFN22821DLYZNX', 'HITId': '31MCUE39CZ26UIPEG2AXJ3SZJQYG3H', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",0,0,0,0,False,False
a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion",A storm is brewing; it's only a matter of time before everything starts to fall apart,0,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 39.264, 'AssignmentId': '3R6P78PK70REGJL2MJLPQ0SNRDQGTQ', 'HITId': '31MCUE39CZ26UIPEG2AXJ3SZJQYG3H', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 70.814, 'AssignmentId': '3ZSANO2JCVN7NJCSMZAHYAWPOFCFS1', 'HITId': '31MCUE39CZ26UIPEG2AXJ3SZJQYG3H', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A3RR85PK3AV9TU', 'WorkTimeInSeconds': 56.091, 'AssignmentId': '3MD9PLUKKYUGCNBNFFN22821DLYZNX', 'HITId': '31MCUE39CZ26UIPEG2AXJ3SZJQYG3H', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,0,2,2,False,True
