idiom,meaning
不可逾越,cannot exceed the limit; impassable
不堪回首,cannot bear to think of the past; too sad to reflect
不堪设想,dare not imagine; inconceivable
不堪造就,unpromising; hopeless to succeed in life
不堪一击,collapse at the first blow; cannot withstand a single blow
不亢不卑,neither overbearing nor servile; neither humble nor pert
不合时宜,incompatible with the present needs; unseasonable
不寒而栗,tremble with fear; shiver all over though not cold shudder
不欢而散,end on an unpleasant note; part on bad terms
不即不离,keep somebody at arm's length; maintain a discreet distance
不计其数,countless; innumerable
不急之务,a nonurgent business; a matter of no great urgency
不假思索,spur-of-the-moment; offhand
不骄不躁,be neither conceited nor rash; be not proud or touchy
不见棺材不落泪,refuse to be convinced until one is faced with grim reality; not shed a tear until one sees the coffin
不见经传,unknown; not authoritative
不近人情,unreasonable; not amenable to reason
不进则退,"move forward, or you'll fall behind; "
不经之谈,sheer nonsense; cock-and-bull story
不胫而走,spread like wildfire; get round fast
不经一事,wisdom comes from experience; in doing we learn
不拘小节,no stickler for formality; not be punctilious
不拘一格,not conform to one pattern; follow no set form
不绝如缕,very precarious; linger on faintly
不期然而然,turn out contrary to one's expectations; not as one thought it would happen
不期而遇,meet accidentally; chance on
不求甚解,be content with superficial understanding; have but little understanding of the nature of things
不情之请,my presumptuous request; 
不屈不挠,with great fortitude; do-or-die
不屑一顾,not worth taking a look at; beneath one's novice
不肖子孙,unworthy descendants; 
不修边幅,be slovenly; untidy
不相上下,equally matched; balanced
不省人事,unconscious; insensible
不学无术,ignorant and incompetent; an ignoramus
不知凡几,can't tell how many there are; there are numerous similar cases
不知天高地厚,have an exaggerated opinion of one's abilities; not know the immensity of heaven and earth
不知好歹,not to know good from bad; 
不知进退,have no sense of propriety; 
不知人间有羞耻事,lose all sense of shame; the height of impudence
不知所措,be at a loss; lose one's bearings
不知所以,not know the reason why; unable to account for
不知所云,unintelligible; incomprehensible
不折不扣,in full sense; to the letter
不置可否,be noncommittal; dodge
不治之症,incurable disease; a disease without remedy
不着边际,irrelevant; impertinent
不耻下问,not above asking questions; stoop to ask questions from common people
不成体统,unseemly; behave very badly
不时之需,things which may come in handy; a possible period of want or need occasional needs
不识大体,fail to see the larger issues; ignore the general interest
不识抬举,not know how to appreciate favours; not worth such help
不识时务,not familiar with the current situation; insensible
不衫不履,be sloppily dressed; without shirt or shoes
不上不下,in a fix; suspended in midair
不声不响,silently; quiet
不胜枚举,cannot be enumerated one by one; defy enumeration
不胜其烦,unable to bear; extremely troublesome
不入虎穴,"nothing ventured, nothing gained; how can you catch tiger cubs without entering the tiger's lair"
不容置喙,not allow others to butt in; brook no intervention
不容置疑,beyond the shadow of a doubt; unassailable
不择手段,by hook or by crook; unscrupulously
不在话下,needless to say; to say nothing of
不足挂齿,of no importance; nothing to speak of
不足为凭,not to be taken as evidence; not prove the point
不足为奇,nothing surprising; not at all surprising
不足为训,not worth learning from; not to be taken as a guide
不塞不流,"there is no flowing without damming, and no motion without rest; "
不三不四,neither one thing nor the other; nondescript
不速之客,an unexpected guest; chance comer
不二法门,no other way; the only formula
不亦乐乎,what a joy!; awfully
不易之论,unalterable truth; irrefutable argument
不义之财,ill-gotten wealth; filthy lucre
不一而足,it is by no means an isolated case; similar cases are numerous
不翼而飞,vanish all of a sudden; have grown wings
不以为然,disagree; disapprove
不遗余力,do one's utmost; move heaven and earth
不由分说,without giving one the opportunity to explain; allow no explanation
不由自主,cannot control oneself; involuntarily
不厌其烦,take great pains; be very patient
不厌其详,not feel annoyed to tell in full detail; dwell at great length
不言而喻,self-evident; matter-of-course
不务空名,not seek empty fame; not seek after a hollow reputation
不无小补,be of some help; not be without some advantage
不务正业,not attend to one's proper business; ignore one's proper occupation
不为已甚,"not be too hard on somebody; refrain from going to extremes in meting out punishment, etc."
不闻不问,turn a blind eye to; be indifferent to
不约而同,act in concert; be a coincident
世态炎凉,"the way of the world, now hot, now cold; inconstancy of human relationships"
世世代代,from generation to generation; generation after generation
世上无难事,"where there is a will, there is a way; it is dogged that does it"
世外桃源,away from the turmoil of the world; a haven of peace
丢盔弃甲,run away helter-skelter; fly pell-mell
丢卒保车,give up a pawn to save a chariot; sacrifice minor things to save major ones
并驾齐驱,keep up with; with equal pace
并行不悖,parallel and not contrary to each other; can be carried out at the same time
中流砥柱,a tower of strength; mainstay
中庸之道,middle course; the golden mean
串通一气,collaborate with; collude with
主观臆断,subjective and groundless conclusion; 
久别重逢,meet again after a long separation; 
久病成医,chronic disease makes a doctor of a patient; prolonged illness makes the patient a good doctor
久旱逢甘雨,have a long-felt need satisfied; genial shower after a long drought
久假不归,put off indefinitely returning something one has borrowed; appropriate something borrowed for one's own use
久而久之,as time passes; in the course of time
之乎者也,pedantic terms; archaisms
乘风破浪,brave the wind and the waves; ride on the wind
乘兴而来,set out cheerfully and return disappointed; come on an impulse and go back with a sour face
乘虚而入,act when somebody is off guard; get a chance to step in
乘人之危,take advantage of other's calamity; take advantage of somebody's precarious position
九牛二虎之力,a tremendous amount of labor; herculean efforts
九牛一毛,a drop in the bucket; a very small minority
九霄云外,the winds; the four winds
九死一生,a marrow escape from death; imminent danger
乞哀告怜,piteously beg for help; 
乳臭未干,be wet behind the ears; babes and sucklings
干净利落,neat and tidy; neatly
乱七八糟,in great disorder; higgledy-piggledy
了如指掌,read something like a book; have something at one's finger-tips
事倍功半,do twice the work with half of results; get half the results with double the effort
事半功倍,get twice the result with half the effort; half the work with double the result
事必躬亲,take care of every single thing personally; see to everything oneself
事不关己,let things drift if they do not affect one personally; 
事不宜迟,we must attend to the matter immediately; the matter demands no delay
事非经过不知难,you never know how hard a task is until you have done it yourself; 
事过境迁,the incident is over and the circumstances are different; the matter is past and the situation has changed
事后诸葛亮,claim wisdom after the event; 
事出有因,it is by no means accident al; every why has a wherefore
事实胜于雄辩,facts speak louder than words; 
事在人为,man is the determining factor in doing things; it all depends on human effort
事与愿违,events do not happen as one wishes; things go athwart
五方杂处,peoples from all regions congregate; 
五体投地,kneel at the feet of; on all fours before
五谷丰登,an abundant harvest of all grains; a bumper grain harvest
五光十色,a great variety of colors; motley
五湖四海,the five lakes and four seas; all corners of the country
五花八门,all hinds of; multifarious
五十步笑百步,the pot calling the kettle black; one who retreats fifty paces mocks one who retreats a hundred
五日京兆,an official who doesn't expect to remain long in office; 
五彩缤纷,all the color of the rainbow; colorful
五颜六色,multicolored; colorful
井底之蛙,a man of very limited experience; one ignorant of the world
井井有条,well-arranged; systematic
井水不犯河水,"I'll mind my own business, you mind yours; none may encroach upon the precincts of another"
亘古未有,break all previous records; unprecedented
亡命之徒,fugitive; badman
亡羊补牢,mend the fold after a sheep is lost; 
亡羊补牢,it is not too late to mend the fold even after some of the sheep have been lost; 
亡羊得牛,the gain is greater than the loss; lose a sheep and get an ox
交头接耳,talk confidentially; head to head
交口称赞,praised by one and all; unanimously praise
亦步亦趋,follow in one's steps; blindly follow suit
亭亭玉立,slim and graceful; charming
人不可貌相,don't judge anyone just by appearances; beauty is but skin-deep
人不知,"do in complete secrecy; ""not known by men or perceived by ghosts"""
人不为己,"everyone for himself and let the devil take the hindmost; unless a man looks out for himself, Heaven and Barth will destroy him"
人怕出名猪怕肥,fame portends trouble for men just as fattening does for pigs; 
人莫予毒,"""no one dare harm me""; an arrogant boast"
人面兽心,a brute in man's shape; a brute under a human mask
人命危浅,one's days are numbered; 
人浮于事,superfluous staff; have more than needed
人地生疏,be a complete stranger; be unfamiliar with the place and the people
人定胜天,"it is man's will, not heaven's, that decides; human determination will overcome destiny"
人多嘴杂,too many cooks spoil the soup; divided counsel
人同此心,everybody feels the same about this; 
人困马乏,"tired and exhausted; the men weary, and their steeds spent - the entire force was exhausted"
人欢马叫,"a busy, prosperous country scene; people bustling and horses neighing"
人杰地灵,a place propitious for giving birth to great men; 
人间地狱,a hell on earth; 
人尽其才,bring everyone's ability into full play; 
人弃我取,I will take whatever others don't want; 
人琴俱亡,mourn over the dead at sight of his things left; the man and his lute are both dead
人情世故,worldly wisdom; the ways of the world
人心向背,the will of the people; with whom popular sympathy lies
人心所向,the direction of popular sentiment; the avowed feelings of the people
人之常情,the way of the world; a constant occurrence in human relationships
人寿年丰,times of peace and prosperity; people lead a happy and peaceful life
人山人海,huge crowds of people; a wheat-field of people
人声鼎沸,a hubbub of voices; a boiler factory
人才辈出,people of talent coming forth in large numbers; men of talents come out in succession
人才济济,a galaxy of talent; 
人而无信,"if a man does not keep his word, what is he good for?; "
人一己百,"if others succeed by making one ounce of effort, I will make a hundred times as much effort; "
人言可畏,gossip is a fearful thing; 
人仰马翻,men and horses all overturned - an utter defeat; men and horses thrown off their feet - utterly routed
人无廉耻,"if a man is dead to shame, he can do all sorts of evils; "
人无远虑,if a man is not far-sighted he is bound to encounter difficulties in the near future; 
人为刀俎,be meat on somebody's chopping block - be at somebody's mercy; 
人微言轻,the words of the lowly carry little weight; 
人云亦云,parrot; echo the views of others
仁至义尽,show the utmost tolerance and patience; utmost sincerity
仁者见仁,different people have different views; the benevolent see benevolence and the wise see wisdom
今非昔比,times have changed; the world today is so longer what it was before
今是昨非,"wake up to one's past folly after realizing what is right today; from what is right today, one sees the blunder made in the past"
他山攻错,advice from others may help one overcome one's shortcomings; trust in the help of another to rectify oneself
仗势欺人,throw one's weight about; abuse one's power and bully the people
仗义执言,speak out from a sense of justice; speak boldly in defence of justice
仗义疏财,be generous in aiding needy people; give money to a righteous cause
付之东流,all one's efforts wasted; leave a matter to chance
付之一炬,set something on fire; commit to the flames
付之一笑,laugh it off; laugh at
令行禁止,strict enforcement of orders and prohibitions; every order is executed without fail
令人发指,make one's blood boil; get one's hair up
令人神往,cause one to crave for; cause somebody to have a strong desire for
令人作呕,make one sick; mawkish
以暴易暴,replace one tyranny by another; 
以貌取人,judge by outward looks; choose by appearances
以德报怨,return good for evil; requite ingratitude with kindness
以毒攻毒,fight fire with fire; take a hair of the dog that bit you
以退为进,mane concessions in order to gain advantages; retreat in order to advance
以理服人,convince people by sound argument; persuade through reasoning
以力服人,try to convince people by force; cause people to submit by force
以蠡测海,have a shallow understanding of a person or subject; measure the sea with an oyster shell
以邻为壑,shift one's troubles onto others; dump rubbish in the neighbour's yard
以卵击石,grossly overestimate one's own strength; throw an egg at a stone
以寡敌众,fight against heavy odds; set one's back against the wall
以观后效,see how the offender behaves; 
以攻为守,attack in order to defend; use offensive tactics as a means of defence
以己度人,judge others by oneself; measure another's foot by one's own last
以儆效尤,as a warning to others; to warn others against following a bad example
以小人之心,measure the stature of great men by the yardstick of small men; measure the mind of an upright man by the yardstick of a knave
以血还血,demand blood for blood; the blood-debt must be repaid in kind
以手加额,place hand over one's forehead - in greeting; 
以售其奸,in order to achieve one's treacherous purpose; 
以身殉职,die a martyr at one's post; 
以身作则,set a good example to others; take the lead
以子之矛,turn somebody's battery against himself; set your own spear against your own shield - refute somebody with his own argument
以讹传讹,"pass on rumours, incorrect readings, etc.; circulate erroneous reports"
以耳代目,rely upon hearsay instead of seeing for oneself; take hearsay as true
以一当十,pit one against ten; 
以一警百,punish one as a warning to others; 
以逸待劳,hold one's position awaiting enemy attack after a long march; wait at one's ease for the fatigued enemy or opponent
以眼还眼,blow for blow; a Roland for an Oliver
以怨报德,repay good with evil; bite the hand that feeds
仰人鼻息,at somebody's beck and call; under somebody's thumb
任凭风浪起,hold one's ground despite pressure or opposition; sit tight in the fishing boat despite the rising wind and waves
任劳任怨,work hard without complaint; bear responsibility and blame
任其自流,let things run their course; 
任重道远,shoulder a heavy responsibility; carry heavy responsibilities through thick and thin
任人摆布,be at the mercy of others; allow oneself to be ordered about under somebody's thumb
任人唯亲,cronyism; appoint people by favoritism
任人唯贤,appoint people on their merit; appoint people according to their moral character and ability
休戚相关,feeling of solidarity; solidarity
休戚与共,stand together through thick and thin; throw in one's lot with
休养生息,rehabilitate; nourish the people
伯仲之间,almost on a par; 
你追我赶,try to overtake each other in friendly emulation; 
你死我活,life-and-death; life or death
伶牙俐齿,have the gift of gab; sharp-tongued
似是而非,apparently right but actually wrong; specious
低声下气,soft-spoken and submissive; obsequious
低三下四,humble; cringing
何乐不为,why not go ahead with it; what is there against it
何其相似乃尔,what a striking likeness; what a striking similarity there is here
何去何从,what course to follow; where to go
何足挂齿,not worth bothering about; don't mention it
作壁上观,sit by and watch; look on with folded arms
作法自毙,make a law only to fall foul of it oneself; build a fire under oneself
作奸犯科,violate the law and commit crimes; transgress the law
作茧自缚,spin a cocoon around oneself; put a halter round one's neck
作贼心虚,a thief has a guilty conscience; uneasy lies the head of one with a guilty conscience
作恶多端,commit all sorts of wickedness; guilty of every conceivable atrocity
作威作福,lord it over; throw one's weight about
侃侃而谈,talk with ease and fluency; speak with fervor and assurance
来龙去脉,sequence of events; context
来者不拒,all comers are welcome; keep door open
来者不善,"those who have come are not friendly, these who are friendly have not come; he who has come is surely strong or he'd never have come along"
来日方长,there will be ample time; there are many days yet to provide for
来踪去迹,traces of something; traces of somebody's whereabouts
来而不往非礼也,it is impolite not to reciprocate; one should return as good as one receives
供不应求,supply falls short of demand; demand exceeds supply
依然故我,one's circumstances haven't changed much; as of old
依然如故,remain unchanged; none the worse
依依不舍,reluctant to part from; cannot bear to leave
依样画葫芦,follow the beaten track; ape others
依违两可,be undecided; have no definite conviction of one's own
便宜行事,act as one sees fit; act at one's discretion
促膝谈心,have a heart-to-heart talk; have an intimate chat together
俗不可耐,unbearably vulgar; unbearably common
信步闲游,take a leisurely walk; roam about without a definite objective - walk aimlessly
信马由缰,let things take their natural course; ride with lax reins
信口开河,talk nonsense; unbridle the tongue
信口雌黄,make deceitful statements or unfounded charges; sheer nonsense
信誓旦旦,vow solemnly; oath solemnly pledged
信手拈来,"have words, material, etc. at one's fingertips and write with facility pick up something at random; "
信赏必罚,due rewards and punishments will be meted out without fail; awards and punishments rigorously carried out
信而有征,borne out by evidence; 
修旧利废,repair and utilize old or discarded things; 
俯拾即是,can be found everywhere; be extremely common
俯首帖耳,obedience and servility to; docilely obey
俯首听命,submissively hear and obey; bend one's neck
俯仰之间,in the twinkling of an eye; in a flash
俯仰由人,be at somebody's beck and call; 
倒背如流,know something thoroughly by heart; can even recite something backwards fluently
倒打一耙,make unfounded counter charges; recriminate
倒果为因,reverse cause and effect; put cause for effect
倒行逆施,set back the clock; perverted action
倚老卖老,flaunt one's seniority; presume on old age to despise others
倚官仗势,count on one's powerful connections; rely on one's power and position
借刀杀人,do harm to somebody through the hands of another; kill somebody by another's hands
借题发挥,seize on some pretext to distort; play on the theme of
借古讽今,use the past to disparage the present; use ancient things to satirize the present
借花献佛,borrow flowers to offer Buddha - offer somebody favors at the expense of another; make presents provided by somebody else
借尸还魂,be reincarnated in somebody else's body; resurrect in a new guise
偃旗息鼓,lower the banners one muffle the drums; call off the army maneuvers
偃武修文,leave military pursuits and promote culture; 
假公济私,use public office for private gain; jobbery
假仁假义,pretend to be the paragon of virtue; hypocritically
偏听偏信,listen only to one side; be biased
做一天和尚撞一天钟,follow a routine; take a passive attitude towards one's work
停滞不前,be at a standstill; mark time
侧目而视,take a sidelong glance at; squint at
偶一为之,do something by chance; 
偷偷摸摸,covertly; surreptitiously
偷天换日,audacious scheme of cheating people; play a sly trick
偷梁换柱,resort to fraudulence; try by underhand means to
偷工减料,use inferior materials and turn out sub-standard goods; jerry-build
偷鸡不成蚀把米,try to steal a chicken only to end up losing the rice; go for wool and come back shorn
偷鸡摸狗,crooked dealings; pilfer
傍人门户,be dependent on somebody for living; 
债台高筑,run heavily into debt; be debt-ridden
伤风败俗,corrupt public morals; injurious to public morality
伤天害理,"extremely savage, cruel and brutal; do things offensive to God and reason"
倾盆大雨,heavy downpour; rain cats and dogs
倾家荡产,bring the family to ruin; reduced to poverty and ruin
倾箱倒箧,turn out all one's boxes and suitcases; 
倾巢出犯,turn out in full force; encroach upon in full strength
倾城倾国,exceedingly beautiful; lovely enough to cause the fall of a city or a state
侥幸取胜,win by a fluke; win easy victory through good luck
价廉物美,low prices and fine quality; filling at the price
价值连城,priceless; worth several cities - invaluable
傻头傻脑,foolish-looking; muddle-headed
优胜劣败,"survival of the fittest; ""the superior wins and the inferior loses"""
优柔寡断,weak-minded; irresolutely
优哉游哉,living a life of case and leisure; leisurely and unhurried
倘来之物,windfall; an undeserved gain
兄弟阋于墙,quarrel between brothers; internal dispute
兄弟阋于墙,internal disunity dissolves at the threat of external invasion; brothers quarreling at home join forces against attacks from without
充耳不闻,turn a deaf ear to; close one's ears to
先发制人,preemptive; strike first
先睹为快,consider if a pleasure to be among the first to read; 
先天不足,suffer from an inherent shortage; inherent shortage of
先天下之忧而忧,"the first to show concern and the last to enjoy himself; be concerned about affairs of state before others, enjoy comfort after others"
先礼后兵,try peaceful means before resorting to force; take strong measures only after courteous ones fail
先见之明,be far-sighted; provident
先下手为强,the early bind catches the worm; to take the initiative is to gain the upper hand
先知先觉,prophet; person of foresight and vision
